class,proportion,beta_intercept,beta_linear,beta_quadratic,mean_w1,mean_w2,mean_w3,mean_w4,mean_w5,mean_w6,mean_w7
1,0.3627933467625216,1.846581884961137,0.07016600774971155,-0.01637719128199959,1.488689140174006,1.6407411043337157,1.760038685929426,1.846581884961137,1.900370701428849,1.9214051353325616,1.9096851866722755
2,0.25633029786245526,1.317452418637305,-0.014149496404663134,0.008210908187445265,1.4337990815383017,1.378595044196412,1.3398128232294133,1.317452418637305,1.311513830420087,1.3219970585777596,1.348902103110323
3,0.2719839163331074,1.8854937490806383,-0.10314874630088433,0.008012199678053895,2.2670497850857765,2.1238400403946223,1.9966546950595765,1.8854937490806383,1.790357202457808,1.7112450551910852,1.6481573072804703
4,0.10889243904191573,2.559047000886729,-0.04719095402272159,-0.03777159296145069,2.3606755263018377,2.5023425370863692,2.568466361948,2.559047000886729,2.4740844539025564,2.313578720995483,2.077529802165508
