K,logL,BIC,aBIC,AIC,entropy,min_prop,max_prop
1,-13827.68837891,27686.595395008222,27673.88644099969,27663.37675782,1.0,1.0,1.0
2,-12766.72234146702,25595.88195731049,25570.464049293423,25549.44468293404,0.6720548012265074,0.4053978145378005,0.5946021854621995
3,-12457.288534448911,25008.232980462497,24970.1061184369,24938.577068897823,0.7149110344184417,0.1407206736440118,0.5720081413195977
4,-12261.598727662193,24648.072004077283,24597.236188043153,24555.197455324385,0.6615948700939962,0.10889243904191573,0.3627933467625216
5,-12191.084403012395,24538.261991965912,24474.71722192325,24422.16880602479,0.6762875621070887,0.031418710854033964,0.37704165586768884
