HR,HR_lo,HR_hi,p,period,class_label,class
8.181793237996084,5.32761953357591,12.565037756062697,7.779495316841522e-22,late,Persistent-High,c2
2.6234476091950563,1.7784352807657697,3.8699622261360878,1.1585036513179736e-06,late,Decreasing,c3
5.031796480989425,3.5820197514853787,7.068351818997755,1.1809394395683616e-20,late,Late-Increasing,c4
