K,logL,BIC,aBIC,AIC,entropy,min_prop,max_prop
1,-14143.188229297031,28317.595095782286,28304.886141773753,28294.376458594063,1.0,1.0,1.0
2,-13055.843535213524,26174.124344803495,26148.70643678643,26127.687070427048,0.6744849942501197,0.4195393442450716,0.5804606557549284
3,-12746.200219312424,25586.056350189523,25547.929488163925,25516.40043862485,0.719208035377395,0.1354604558003732,0.5717926092341977
4,-12551.600144846318,25228.074838445533,25177.239022411402,25135.200289692635,0.6607381234176541,0.10518747270997277,0.3483407288367359
5,-12485.229697062558,25126.552580066236,25063.007810023573,25010.459394125115,0.6667899670781574,0.037196095871586746,0.3654193513792781
