K,free_parameters,logL_Mplus,AIC_Mplus,BIC_Mplus,aBIC_Mplus,entropy_Mplus,best_logL_replicated,terminated_normally,logL_Python,BIC_Python,aBIC_Python,AIC_Python,entropy_Python,min_prop,max_prop,logL_diff_Mplus_minus_Python,BIC_diff_Mplus_minus_Python,aBIC_diff_Mplus_minus_Python,AIC_diff_Mplus_minus_Python,entropy_diff_Mplus_minus_Python
1,4,-14143.189,28294.378,28317.597,28304.888,,True,True,-14143.188229297031,28317.59509578229,28304.886141773757,28294.376458594063,1.0,1.0,1.0,-0.000770702969020931,0.001904217711853562,0.001858226241893135,0.001541405938041862,
2,8,-13055.844,26127.689,26174.126,26148.708,0.675,True,True,-13055.843535213524,26174.12434480349,26148.70643678643,26127.687070427048,0.6744849942501197,0.4195393442450716,0.5804606557549284,-0.00046478647527692374,0.0016551965090911835,0.0015632135691703297,0.0019295729507575743,0.0005150057498803928
3,12,-12746.201,25516.402,25586.058,25547.931,0.719,True,True,-12746.200219312424,25586.056350189523,25547.929488163925,25516.40043862485,0.719208035377395,0.1354604558003732,0.5717926092341977,-0.0007806875746609876,0.0016498104778293055,0.0015118360752239823,0.0015613751493219752,-0.00020803537739499944
4,16,-12551.601,25135.202,25228.076,25177.24,0.661,True,True,-12551.600144846318,25228.074838445533,25177.2390224114,25135.200289692635,0.6607381234176541,0.1051874727099727,0.3483407288367359,-0.0008551536830054829,0.001161554468126269,0.0009775886028364766,0.0017103073660109658,0.00026187658234588795
5,20,-12485.23,25010.461,25126.554,25063.009,0.667,True,True,-12485.229697062558,25126.55258006624,25063.007810023573,25010.459394125115,0.6667899670781574,0.0371960958715867,0.3654193513792781,-0.0003029374420293607,0.0014199337601894513,0.001189976424939232,0.0016058748842624482,0.0002100329218426289
