mplus_raw_class,I,S,Q,mean_w1,mean_w2,mean_w3,mean_w4,mean_w5,mean_w6,mean_w7,manuscript_label,manuscript_class
2,1.326,-0.016,0.009,1.455,1.3940000000000001,1.351,1.326,1.319,1.33,1.359,C1 Stable-Low,1
4,2.614,-0.043,-0.039,2.392,2.5439999999999996,2.618,2.614,2.5319999999999996,2.372,2.134,C2 Persistent-High,2
1,1.932,-0.1,0.005,2.277,2.152,2.037,1.932,1.8369999999999997,1.752,1.6769999999999998,C3 Decreasing,3
3,1.864,0.073,-0.017,1.492,1.6500000000000001,1.7740000000000002,1.864,1.9200000000000002,1.9420000000000002,1.9300000000000002,C4 Late-Increasing,4
