target_class,BCH_corrected_proportion,sum_weights,SE,CI_lo,CI_hi,class_label
1,0.010727216671925166,621.8039581546573,0.0071899813337547155,0.0,0.026448172988973964,Stable-Low
2,0.1356905547505399,257.9020070416835,0.024849030902866914,0.08977786705118336,0.18849012231842746,Persistent-High
3,0.023933524388093663,718.1543302142288,0.010704784177963887,0.0035068497421611665,0.04621143801201766,Decreasing
4,0.11490736597619097,854.1397045894302,0.013760399767914933,0.09024392344007771,0.1440230290111474,Late-Increasing
