class,OR_vs_ref,CI_lo,CI_hi,n_valid_boot
2,10.574594499446953,6.492595491498222,20.20707657388506,2000
3,5.051693821171991,3.207463572715741,9.448706477462162,2000
4,15.229958706474518,9.5650663802515,28.99903248542358,2000
