target_class,BCH_mean,SE,CI_lo,CI_hi,class_label
1,1.1706818332249422,0.02072327259718804,1.1294158854810779,1.2105860228703382,Stable-Low
2,2.185065223521353,0.04758573006440508,2.0902800318594834,2.2797615831121365,Persistent-High
3,1.5342864826174751,0.02612972196263945,1.4818828369283361,1.5862339941230024,Decreasing
4,2.0391381195921516,0.023884722988271104,1.9937699053585531,2.088192377156855,Late-Increasing
