c2_x_t,c3_x_t,c4_x_t
-0.1186323489544886,-0.27065785422843786,0.27092421958352686
-0.044729041394073916,-0.2966913186428762,0.2755966387797539
0.04467721570495614,-0.23310430507880767,0.43222857317459806
-0.0758730617742044,-0.31346433204401275,0.366144438157016
-0.006303669326278391,-0.3109943015048893,0.2784239829285009
-0.021403778269908354,-0.2827989356338227,0.3330418375985689
-0.1269801147294227,-0.3164472684324522,0.26436462613896516
-0.0875063361021606,-0.29787636563469816,0.32075554651082455
-0.12035913256074536,-0.31536744321693183,0.3842058944310224
-0.19711925419630422,-0.3545937883279275,0.19425383796203607
-0.01878285753856628,-0.23337788420614314,0.3162409979518196
-0.15707160241359905,-0.3676620276283598,0.23342686331277054
-0.11153505158312146,-0.25018517442611676,0.2739566772197441
-0.12742173971624818,-0.2664378344214153,0.37107748113655314
-0.1319994626034875,-0.2650040032211844,0.25479285208533636
-0.1111895866411417,-0.30806419732865,0.22261209824253628
-0.1913366920293339,-0.33955712624546674,0.257292396402032
-0.04677415349615998,-0.19566494800211995,0.34955799950755123
-0.13527683855933295,-0.4275490211841719,0.20956699598885245
-0.18293539876276585,-0.27658395676368924,0.26044586297618855
-0.04969362510931118,-0.26322660686040217,0.3556938511798072
-0.11187704754775168,-0.29699084015295035,0.31604186360921493
-0.10779922712732068,-0.36196204120976444,0.21988318022098294
-0.08408712426103372,-0.2799000569136179,0.2957334476842214
-0.11549579203998953,-0.4571252568429122,0.22191734368045438
-0.00927961146949381,-0.2652659570325825,0.35548927690604754
-0.06637361051037506,-0.18562897674069814,0.37021849875724927
-0.14629997481192233,-0.26113379734494446,0.29493900300003967
0.05681627026093531,-0.17365159844018058,0.3956407851147771
-0.15537995138190855,-0.300990839938197,0.24366273489565649
-0.07367187234991084,-0.30159784865532485,0.2643042661403562
-0.13338181921946235,-0.27369154757862396,0.3100840863216993
-0.04272351774873122,-0.3737324867713912,0.3035352169496874
-0.0823111972900926,-0.24490430073097472,0.35582217429067287
0.035052480117558536,-0.2253456012364507,0.39184566679645866
-0.06299890125659446,-0.3159831058954115,0.26057017955344536
-0.09909317363744519,-0.30188465695078276,0.3311580038945482
-0.14979445199756372,-0.42054909898930914,0.25444448907259065
-0.05022771743864473,-0.3636169153565631,0.3246708791601395
0.011768904932529743,-0.22694480672457767,0.29742827916544046
0.03662336568395541,-0.285215435459639,0.3155717169123883
-0.1550126721138449,-0.36620000188016005,0.22799329061619064
-0.00441904894266421,-0.1930635068701369,0.3359791232391235
-0.06494954509517832,-0.2668750664416254,0.3346862532467199
-0.19643766677322902,-0.37298889973638333,0.196831949704505
-0.16678772427545743,-0.3245643643035069,0.33158030508629616
-0.03571260934674361,-0.2696043503506015,0.34122201216979536
-0.1427213734692345,-0.3186479082143256,0.19668356938759124
-0.12078200551328061,-0.32465762888366473,0.2525321366359016
-0.043398563650094174,-0.32492074547802485,0.3337994532095306
-0.1200401250342283,-0.3178220140771983,0.22084041085903344
-0.18419299810908094,-0.4139447332456796,0.1634539218845302
-0.0501705119887711,-0.2420152835089717,0.3046102770895711
-0.060550576661393754,-0.29994404812450265,0.30473433983196824
-0.06008741630583336,-0.25784931408769696,0.27476602415345774
-0.18470588516305994,-0.4301196648187147,0.2874762435812079
-0.3367674734203572,-0.5288641146567533,0.017817717529706727
-0.17942186496910756,-0.3533702383935219,0.29294007112664155
0.08856079566274559,-0.21022951594419742,0.4189596334427512
-0.16020850418094573,-0.37473268893599526,0.1846646019448754
-0.12796012316972877,-0.2889455853784889,0.3000623881781001
-0.05952296149367959,-0.2648494929365265,0.23314738894067502
-0.20518344590657278,-0.42457956779965345,0.2289070063223905
-0.06729577608078216,-0.2475050985934968,0.36803281531375176
-0.054027532289428006,-0.3268343250619583,0.2718175467188761
-0.011538266515465117,-0.2591478505082276,0.35834151818025645
-0.1992074980357105,-0.33072270258632613,0.21475385712286152
-0.11081055059773648,-0.31863369450805057,0.2542266586441224
-0.05601964549841211,-0.27082230806631513,0.3531245931880703
-0.17510510028096005,-0.36477121063964246,0.19110385113527564
-0.17397573836478272,-0.4404876290680417,0.19702416276634607
-0.2077238065715181,-0.3946908559861453,0.21244904412248158
-0.2239124803839696,-0.4038592207093918,0.19700514212574513
-0.03692562248695897,-0.19281725128931032,0.3825966817090267
-0.24674915584129614,-0.3847692325753925,0.203360113917158
-0.03947418943101398,-0.3054927468078597,0.3247685008735153
-0.17832486493570085,-0.3940823433332579,0.20144445280414033
-0.06609851390753366,-0.27241720343171577,0.25452385470768907
-0.0712574492895489,-0.32353943053448375,0.2960154807958401
-0.08414792025409008,-0.3561037310660738,0.27272586820218075
-0.2101436307994864,-0.4245786490983003,0.1860587124999895
-0.2623737127530166,-0.4306249209107923,0.2114921246903449
-0.011694459720134939,-0.2591235956274997,0.28220779075857555
-0.11172285167011729,-0.2997090347795504,0.30609269737927686
-0.08498483975540391,-0.24869550396769918,0.2846414813342526
-0.08429588940070476,-0.3423652391916854,0.23165390409731548
-0.1548832450185231,-0.4106844002026905,0.1834130831934305
-0.017777776145566023,-0.21643406203725005,0.3089538027860752
-0.12871255917624008,-0.30070181021720604,0.2777683195172313
-0.2663197735715111,-0.5230734131389463,0.13496557023866018
-0.03892149640207155,-0.29552370877968437,0.32551145038559015
-0.21038932752908254,-0.41602977987839174,0.18572792320464876
0.013502288073807859,-0.21192324369849172,0.4211699662918056
-0.16159774431845225,-0.23969837167585067,0.2670792573826635
-0.013233259337893304,-0.28370726178838407,0.36241491473262194
-0.013673425546303632,-0.31511479281299964,0.31651450162326034
0.05160849520415312,-0.20378245628300215,0.4025156018356554
-0.08849961391366966,-0.2844013986609023,0.3306819485214033
0.010189548633910542,-0.259664740576035,0.32667163157343676
