class_K4,1,2,3,4,5,6,7
1.0,0.254,0.161,0.143,0.164,0.15,0.164,0.141
2.0,0.739,0.735,0.743,0.735,0.714,0.649,0.461
3.0,0.712,0.581,0.517,0.5,0.417,0.409,0.344
4.0,0.221,0.32,0.402,0.464,0.554,0.588,0.492
