class_K4,1,2,3,4,5,6,7
1.0,0.216,0.317,0.403,0.47,0.561,0.599,0.496
2.0,0.243,0.159,0.138,0.159,0.141,0.152,0.135
3.0,0.754,0.594,0.512,0.487,0.397,0.388,0.317
4.0,0.758,0.758,0.777,0.762,0.73,0.652,0.504
