class_K4,1,2,3,4,5,6,7
1.0,0.019,0.05,0.053,0.075,0.114,0.104,0.1
2.0,0.034,0.015,0.013,0.011,0.013,0.024,0.018
3.0,0.246,0.165,0.085,0.078,0.054,0.037,0.039
4.0,0.309,0.289,0.367,0.27,0.301,0.223,0.113
