scale,ICC1,MS_between,MS_within,k_bar
self_esteem,0.37354961271106957,0.5768629688071975,0.12181331454553075,6.264730886730913
grit,0.35955869262391627,0.4469761041516689,0.09895055782836751,6.264730886730913
sm_addiction,0.3591632351967528,0.6153154388516475,0.13736396493187347,6.208211895936379
withdrawal,0.35711352543225144,1.3948891414055211,0.31136186425288803,6.264730886730913
attention,0.3385017871387521,0.8592632741746548,0.20430497388579533,6.264730886730913
happy,0.3384588784088467,0.5581910693633448,0.1327391428850801,6.264730886730913
parent_warmth,0.33345398154514666,0.9005214299548586,0.2178294566029697,6.264730886730913
somatic,0.3117523132255923,0.8575888950748483,0.22346395854286275,6.264730886730913
life_sat,0.31143649435702253,0.7647927195354164,0.19950087303915406,6.264730886730913
depression,0.3065333432545673,0.8637943431116717,0.2291717075947422,6.264730886730913
peer_attach,0.29835586364784455,0.4394974907285543,0.11995302470768995,6.264730886730913
aggression,0.29602358632743747,0.8379072981242436,0.23055327110310242,6.264730886730913
teacher_rel,0.2886535138688676,0.5310340998500135,0.1647318484035369,5.479820823548849
parent_autonomy,0.2871397425935345,0.8641358727933816,0.24525413733255108,6.264730886730913
parent_chaos,0.2843778750358549,0.883518682348708,0.2531925186655771,6.264730886730913
parent_coerce,0.26543111636829725,0.8541868476544558,0.2617222639825951,6.264730886730913
parent_reject,0.23884091826637394,0.8233431570547602,0.2776140320091075,6.264730886730913
parent_structure,0.22611769217187835,0.6573117609173253,0.23222726911606534,6.264730886730913
