target_class,BCH_corrected_proportion,sum_weights,SE,CI_lo,CI_hi,class_label
1,0.07951064215666166,621.8039581546573,0.017273155565049887,0.045441657439643,0.11236579933555198,Stable-Low
2,0.47737823567012394,257.9020070416835,0.03874054603357826,0.40457583591324536,0.5559963254917645,Persistent-High
3,0.30379705046771127,718.1543302142288,0.024568296397628257,0.25541575393335797,0.3516352269602374,Decreasing
4,0.5681389039604354,854.1397045894302,0.02433303409241816,0.5227401115763639,0.6184966472004502,Late-Increasing
