"","G","loglik","npm","AIC","BIC","SABIC","entropy","ICL1","ICL2","%class1","%class2","%class3","%class4","%class5"
"mod1",1,-13827.6886018912,4,27663.3772037824,27686.5958409706,27673.8868869621,1,27686.5958409706,27686.5958409706,100,NA,NA,NA,NA
"mod2",2,-12766.7225345575,8,25549.445069115,25595.8823434914,25570.4644354744,0.672087385408007,26153.2016023725,26172.4638534597,59.7879282218597,40.2120717781403,NA,NA,NA
"mod3",3,-12457.2887106887,12,24938.5774213773,25008.233332942,24970.1064709164,0.714928575195389,25776.1579764571,25762.9816188844,58.8499184339315,28.1402936378467,13.0097879282219,NA,NA
"mod4",4,-12261.5989094977,16,24555.1978189955,24648.0723677484,24597.2365517142,0.661617450181919,25798.3002241395,25835.074329056,10.4404567699837,27.2022838499184,25.163132137031,37.1941272430669,NA
"mod5",5,-12191.0845070037,20,24422.1690140074,24538.2621999485,24474.7174299058,0.676304366484894,25815.6757964359,25835.3187364172,2.93637846655791,22.7569331158238,16.5986949429038,18.2300163132137,39.4779771615008
