"","G","loglik","npm","AIC","BIC","SABIC","entropy","%class1","%class2","%class3","%class4","%class5"
"mod1",1,-14143.1884522791,4,28294.3769045582,28317.5955417464,28304.8865877379,1,100,NA,NA,NA,NA
"mod2",2,-13055.8437305762,8,26127.6874611523,26174.1247355288,26148.7068275117,0.674509595317977,58.6460032626427,41.3539967373573,NA,NA,NA
"mod3",3,-12746.2003937154,12,25516.4007874309,25586.0566989955,25547.9298369699,0.719229363476235,28.0995106035889,59.6247960848287,12.2756933115824,NA,NA
"mod4",4,-12551.6003257903,16,25135.2006515806,25228.0752003335,25177.2393842994,0.660762697042202,25.1223491027732,29.5676998368679,9.99184339314845,35.3181076672104,NA
"mod5",5,-12485.2298339523,20,25010.4596679047,25126.5528538458,25063.0080838031,0.666816867281764,16.1092985318108,19.5758564437194,38.4176182707993,3.46655791190865,22.4306688417618
