"ID","class","prob1","prob2","prob3","prob4"
7802,2,3.89223874680594e-06,0.698404965242206,0.301342713263656,0.000248429255391536
11922,2,6.6987981274566e-05,0.998872629139478,0.000987349893197929,7.30329860497855e-05
11932,4,0.0831269853033559,0.0178364298149121,2.93821578009671e-05,0.899007202723931
12852,4,0.186963147787855,0.0776192378848404,4.40620247460657e-06,0.73541320812483
15902,4,0.187358235091729,0.0903913323389926,1.2191827588021e-05,0.72223824074169
20792,4,0.303719098148867,0.184319071600326,1.83167356139938e-05,0.511943513515193
21452,4,0.0903614720249043,0.341187783377812,0.0522625995378147,0.516188145059469
25911,1,0.995020823099608,0.00145256878599314,6.18782625103184e-11,0.00352660805252115
25921,4,0.000230349607079203,0.166027042133954,0.107466686621468,0.726275921637498
25931,4,0.0923390581980049,0.0595427870693725,6.19074557302548e-06,0.84811196398705
25951,1,0.486804224209955,0.266018937802136,2.56965949623875e-06,0.247174268328412
25971,2,0.195096885972626,0.764791503538427,8.33157328463667e-06,0.0401032789156631
25981,2,0.276004739502875,0.529405573394134,9.18372007088963e-06,0.19458050338292
25991,1,0.700624651404752,0.283830241413687,1.55750873837553e-07,0.0155449514306876
26001,2,0.00427567465253806,0.976081868486265,0.000223895155915902,0.0194185617052817
26011,1,0.992509024014191,0.000142501482350216,1.85274634219315e-11,0.00734847448493144
26021,2,0.037445204291861,0.8310131903838,8.93836598050028e-05,0.131452221664534
26031,4,0.251912987015072,0.00144577719694058,1.97074307730952e-06,0.74663926504491
26041,2,0.0354748302116503,0.947373063350394,1.75555291509145e-05,0.0171345509088047
26051,2,0.0294653967992498,0.575901379865861,0.000297619806303338,0.394335603528586
26061,3,7.97261676100607e-07,0.459662579106691,0.532302003711642,0.00803461991999117
26071,3,1.01326273060721e-10,0.0017553177054565,0.997819463296437,0.000425218896780551
26081,4,0.00129599994502913,0.379438803174488,0.0212724954223526,0.597992701458131
26091,2,5.11945634690796e-05,0.735578476199253,0.255795592598026,0.00857473663925234
26101,3,8.69778807333217e-07,0.0364816148375101,0.781799680836168,0.181717834547514
26111,4,0.334578094977763,0.00177084713733773,3.30328717058148e-08,0.663651024852027
26121,4,0.310420342196415,0.00336493127209893,1.51181625287017e-06,0.686213214715234
26131,4,0.217703074212461,0.36816502072243,0.00196040974338557,0.412171495321724
26141,4,0.00330565426210037,0.0315486731221867,0.000310117643828987,0.964835554971884
26151,3,1.7003276684721e-17,2.92815366557888e-06,0.999997065414478,6.43185689877345e-09
26161,4,0.0332271118057951,0.0647891789273827,0.000319280858376043,0.901664428408446
26171,1,0.714550873851964,0.0902088016128905,7.81475318288451e-07,0.195239543059827
26181,2,0.00191081218229916,0.996016724333611,5.30868367563179e-05,0.00201937664733387
26191,2,0.0102695177303926,0.939893026603699,0.000317073108498646,0.0495203825574098
26201,2,0.00135187975104126,0.972703139398769,0.00187573580512177,0.0240692450450678
26211,2,0.0390687743606702,0.951148877306564,1.23727939663744e-05,0.00976997553879894
26221,2,0.00664457530101765,0.501446879748511,0.000956153672812081,0.49095239127766
26231,2,0.000243946540502291,0.755854247756313,0.0618200148283143,0.18208179087487
26241,2,0.362505983248211,0.37371753707264,1.20958046514449e-05,0.263764383874498
26251,1,0.74736249877719,0.00754113789795948,5.23034678237036e-08,0.245096311021383
26261,4,0.393401551063965,0.0533151607843554,1.4421290243595e-06,0.553281846022655
26271,1,0.999703906743064,2.1779308593597e-06,3.17907047791256e-15,0.00029391532607347
26281,3,4.89437886772750e-09,0.148246729090884,0.851729377502334,2.38885124031647e-05
26291,1,0.871818926352611,0.00317538230578413,6.8185055694082e-09,0.1250056845231
26301,1,0.641713468426896,0.0706610893554141,3.6553715263369e-06,0.287621786846164
26302,1,0.92672129243023,0.0192103241758749,1.7330954712212e-07,0.0540682100843485
26311,1,0.63096239801943,0.228809329605268,1.87166823782191e-06,0.140226400707065
26321,2,0.0232189686674905,0.961775307288061,4.24303851239096e-05,0.0149632936593241
26331,2,0.00620785287190197,0.98254910763015,0.000121507414444928,0.0111215320835028
26341,4,0.0344717030185272,0.00610939840076473,3.14683507963339e-06,0.959415751745628
26351,2,0.00277703375299088,0.786542745701268,0.00758186507825363,0.203098355467487
26361,2,0.00691894156649368,0.974451578397375,0.000137209965207566,0.0184922700709235
26371,4,0.039337471216547,0.00997180797799345,3.94481750454665e-05,0.950651272630414
26381,1,0.3773196300459,0.377249131565401,6.55516022081135e-06,0.245424683228478
26391,3,1.73470706545563e-15,1.96842997060836e-05,0.999980126851621,1.88848671079595e-07
26401,4,0.225205942544551,0.0693120339115103,6.41577138131596e-06,0.705475607772558
26411,2,0.0068261396109131,0.748105410696629,0.00427137229729729,0.240797077395161
26421,4,0.0335684260676375,0.125356319268804,0.000499506792738428,0.84057574787082
26431,4,0.0122845638542398,0.14416227845724,0.00182337898365762,0.841729778704863
26441,2,2.8668088843383e-05,0.993269398106113,0.00506066073900429,0.00164127306603964
26451,4,0.396018798243087,0.00355380652863393,4.99059322982885e-08,0.600427345322347
26461,2,0.00326917099244252,0.987936320614727,0.000194108512773642,0.00860039988005649
26471,1,0.997124750834711,7.87064999815059e-05,1.96831081895762e-12,0.00279654266333926
26481,2,2.97661772289292e-05,0.704722561700719,0.19764310232698,0.0976045697950719
26491,1,0.631171591434986,0.362758484485158,1.11504944456334e-07,0.00606981257491104
26501,4,0.0402193783922235,0.110313729665916,0.000174271980194524,0.849292619961666
26511,2,0.00055603665196524,0.905145213189319,0.0146327067174264,0.0796660434412897
26521,1,0.877396743958518,0.000999111259763881,2.05815551475372e-09,0.121604142723562
26531,2,0.0744583918011751,0.777252446199742,0.00011534471307365,0.14817381728601
26541,2,0.00516926359670427,0.91045962534199,0.00115022364037666,0.0832208874209286
26551,2,0.0730237722710943,0.792637809237576,0.000327120223882184,0.134011298267447
26561,1,0.944268936001697,0.000360347567640788,1.42827677587122e-09,0.0553707150023854
26571,1,0.989433171618195,0.00256929432722382,3.07175505220377e-10,0.00799753374740559
26581,4,0.147494489649531,0.000513408106445447,1.08039648206701e-08,0.851992091440059
26591,2,0.00425659986690364,0.990121703592695,7.13421181810732e-05,0.00555035442222012
26601,4,0.0299359702443865,0.0131520798461635,9.4621965919008e-06,0.956902487712858
26611,2,0.00249861116293839,0.9888636525473,0.000241645049667633,0.00839609124009427
26621,1,0.743080323827322,0.129588503879377,3.5097204954047e-07,0.127330821321252
26631,2,1.81177997421989e-05,0.555826145686851,0.31455582025612,0.129599916257288
26641,4,0.0365337477474566,0.0841121840103001,2.92453695574918e-05,0.879324822872686
26651,2,0.000923603122761642,0.622523876148306,0.00942023082612811,0.367132289902804
26661,4,0.0678339657284969,0.0277859440091763,4.77359619146675e-05,0.904332354300412
26671,3,1.02602471865575e-20,1.95000178807733e-08,0.999999980377245,1.22736564443231e-10
26681,2,4.68853436608326e-05,0.469479277073904,0.272261392234757,0.258212445347678
26691,2,0.00254636803991882,0.78344562267197,0.0257083473163921,0.188299661971719
26701,4,0.011861910070888,0.0295776324750101,0.00357590258361365,0.954984554870488
26711,2,0.0013569527173618,0.691291100304899,0.00686785956413142,0.300484087413608
26721,4,5.1105283671318e-05,0.0151308808424076,0.0191020235971213,0.9657159902768
26731,4,0.284880813109187,0.0091917223411177,3.05200474872022e-07,0.705927159349221
26741,4,0.181162920450409,0.0143315552234231,8.97940678937956e-07,0.804504626385489
26751,1,0.617044040894912,0.00522978281802099,2.49356134764327e-08,0.377726151351453
26761,4,0.00716425830871819,0.00649407630159607,1.36454919624042e-05,0.986328019897723
26771,4,0.138483483219156,0.00168160363285245,1.31460405938058e-07,0.859834781687585
26781,4,0.0152520998761419,0.119665711732772,0.000364132418312515,0.864718055972773
26791,1,0.755560564993943,0.0541800873883157,1.21387603601951e-06,0.190258133741705
26801,2,0.000898810325529819,0.892098269433011,0.00829238193853205,0.0987105383029267
26811,4,0.306698447800909,0.0391361801482566,2.76961826058767e-06,0.654162602432574
26821,3,3.00608165271402e-07,0.0343802348142642,0.92763157568836,0.0379878888892109
26831,1,0.98680857952724,0.00161266984862141,3.20103212677924e-10,0.0115787503040349
26841,1,0.992606301465855,0.000226664477957624,2.10199341190673e-11,0.00716703403516749
26851,1,0.958742517504144,0.00267161463460528,2.00955892601134e-09,0.0385858658516918
26861,1,0.986557033284498,0.00730000949897792,7.51906779266907e-10,0.00614295646461762
26871,1,0.705478192338073,0.110318475361093,7.51310204673362e-07,0.184202580990629
26881,1,0.909289078516777,0.0125786642782134,3.03075482636686e-08,0.078132226897461
26891,2,0.0548851360622698,0.927667408282793,0.000173003380983992,0.0172744522739529
26901,2,3.95872020438686e-07,0.948617692299368,0.0512963935059549,8.55183226570783e-05
26911,4,0.00162649699803248,0.0746855466106886,0.000971282935819909,0.922716673455459
26921,4,0.000394943912450282,0.447159764660464,0.0333214147895749,0.519123876637511
26931,1,0.962901011144704,0.0073665301258377,4.38369842021541e-09,0.0297324543457594
26941,2,4.19289371929709e-05,0.967604652404436,0.0199327536851942,0.0124206649731768
26951,1,0.498498478120959,0.026383719390285,7.13429129182836e-07,0.475117089059627
26961,2,0.00096819557563557,0.719863402737932,0.0142615419532329,0.2649068597332
26971,1,0.682514591611087,0.00490775776129824,1.85881181407565e-08,0.312577632039497
26981,2,0.234304695003782,0.564220174165441,1.65521687644374e-05,0.201458578662012
26991,3,5.74403873442602e-07,0.357006349418596,0.637262504513054,0.00573057166447652
27001,1,0.967287702356813,0.000202269677600688,9.13129046002227e-11,0.0325100278742733
27011,2,0.000133510737131876,0.5247859045193,0.0948754836238076,0.38020510111976
27021,2,0.00294549340925841,0.962144580674225,0.000903816661094165,0.0340061092554223
27031,2,0.0134963377355121,0.77471610548824,0.000219534697657231,0.211568022078591
27041,1,0.950425898213662,0.000116960407168,6.23317834353732e-11,0.0494571413168387
27051,1,0.979491658398608,8.55686956086071e-05,1.11383415075007e-11,0.0204227728946447
27061,4,0.174200107030031,0.319889463224935,2.23548007558185e-05,0.505888074944278
27071,1,0.983810103317242,0.000321105020797667,3.22826584714161e-11,0.0158687916296779
27081,3,6.12620591400762e-06,0.0787538117064479,0.602835099357355,0.318404962730283
27091,4,0.00064155392332528,0.037523623319906,0.00275192783166518,0.959082894925103
27101,4,0.00307036075721095,0.00745842971891777,4.86645845332542e-05,0.989422544939338
27111,4,0.00814461236425765,0.235826970673836,0.00572817841809121,0.750300238543815
27121,2,5.12138232594918e-05,0.618268857096844,0.297113136869349,0.0845667922105471
27131,3,1.08811165595237e-10,0.00142678497211626,0.998273975404299,0.000299239514773724
27141,3,4.40202108393781e-10,0.00436432691673212,0.994938506564886,0.000697166078180009
27151,2,0.000952714285677948,0.738145103573037,0.00688958611204046,0.254012596029245
27161,4,0.0878936365269879,0.187482930354325,0.00177567070708962,0.722847762411597
27171,2,3.72735823205538e-05,0.822868520975937,0.113774008413123,0.0633201970286196
27181,4,0.0551297371177579,0.0737495652084122,0.000274645858096306,0.870846051815734
