target_class,BCH_mean,SE,CI_lo,CI_hi
1,2.0450536950625358,0.022579222146825315,2.0021671483991734,2.091377999647159
2,1.174110743381662,0.02038789322751232,1.1335390298880252,1.2124581931523704
3,1.4940494291722102,0.027710646016330203,1.4362823404237137,1.5476341096244135
4,2.1620335047325097,0.045854968461080996,2.0725010933155392,2.25156155903902
