target_class,BCH_corrected_proportion,sum_weights,SE,CI_lo,CI_hi
1,0.12182310285513662,889.5983731829338,0.013646648246103035,0.09683143252869805,0.1505220064020083
2,0.004491240994913286,628.5270447323077,0.006658632727362161,-0.007451735330951182,0.018546729871341212
3,0.018408195348212843,666.8797341993568,0.010893568836662915,-0.0019057140777332133,0.040943483527314944
4,0.12557338577463598,266.99484788540167,0.02344973222609003,0.08135397071026068,0.1747412333355056
