target_class,BCH_mean,SE,CI_lo,CI_hi
1,2.4798348972950577,0.021736473378383078,2.438192973577735,2.523597801047587
2,2.737250975463639,0.027417772832808416,2.681814542954919,2.7913260619845413
3,2.534647052490839,0.027729700111828952,2.481735496020899,2.590357256183773
4,2.3287781643660677,0.03956964100617081,2.248940589144684,2.4046894987987293
