class,OR_vs_ref,CI_lo,CI_hi
1,17.1091812216123,10.743161626519228,33.94286902789739
3,4.527656607517085,2.7557947123479516,8.804908478686475
4,14.415493224360246,8.636871235007865,28.46980596737399
