target_class,BCH_corrected_proportion,sum_weights,SE,CI_lo,CI_hi
1,0.5752022572896196,889.5983731829338,0.023664342392110783,0.5324468430503903,0.6231158609079358
2,0.07333822641803531,628.5270447323077,0.016779930737212744,0.040412171893901803,0.10748279609309158
3,0.2638016357856141,666.8797341993568,0.025123921453054553,0.2143341187298227,0.31282041365111457
4,0.5329016096017338,266.99484788540167,0.03811316401464494,0.45811945835321805,0.6110787852750176
