Unnamed: 0,한국아동·청소년패널조사 2018 중등용 코드북,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,
,문항,,,변수명,값,값설명
,,,,,,
,-,,,ID,-,종단자료 연계를 위한 고유 ID
,,,,HID,-,가구 ID
,,,,PID,-,개인 ID
,,,,,7,4시간 이상~
,,,주말,YTIM1H02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,독서시간(교과서 및 참고서 외),평일,YTIM1I01,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,,주말,YTIM1I02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,운동 및 신체활동 시간(학교 수업시간 외),평일,YTIM1J01,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,,주말,YTIM1J02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,스마트폰을 가지고 노는 시간,평일,YTIM1K01,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,,주말,YTIM1K02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,컴퓨터를 가지고 노는 시간,평일,YTIM1L01,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,,주말,YTIM1L02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,TV를 시청하며 노는 시간,평일,YTIM1M01,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,,주말,YTIM1M02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,위의 8)~11) 이외에 친구들과 노는 시간,평일,YTIM1N01,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,,,주말,YTIM1N02,1,전혀 안 함
,,,,,2,30분 미만
,,,,,3,30분~1시간 미만
,,,,,4,1시간~2시간 미만
,,,,,5,2시간~3시간 미만
,,,,,6,3시간~4시간 미만
,,,,,7,4시간 이상~
,스마트폰을 사용합니까?,,,YMDA1A00,1,예. 나의 스마트폰이 있음
,,,,,2,예. 나의 스마트폰은 없지만 부모님 등 다른 가족의 것을 이용함
,,,,,3,아니오. 스마트폰을 사용하지 않음
,스마트폰을 얼마나 자주 사용합니까?,가족과의 통화 ,,YMDA1B01,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,"가족과의 문자 메시지(카톡, 라인 등 메신저 포함)",,YMDA1B02,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,친구와의 통화 ,,YMDA1B03,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,"친구와의 문자 메시지(카톡, 라인 등 메신저 포함)",,YMDA1B04,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,"SNS(트위터, 페이스북, 인스타그램 등) 이용",,YMDA1B05,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,게임,,YMDA1B06,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,사진/동영상 촬영,,YMDA1B07,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,"TV 및 동영상 시청(DMB, 아프리카 TV, 판도라 TV, 유튜브 등)",,YMDA1B08,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,음악 감상,,YMDA1B09,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,"정보 검색(학교홈페이지, 뉴스, 포탈사이트, 웹서핑 등 학습·비학습 관련 모두 포함)",,YMDA1B10,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,"문서 보기(웹툰, e-Book 등)",,YMDA1B11,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,학업 또는 업무 관련,,YMDA1B12,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,기타,,YMDA1B13,1,전혀 사용하지 않는다
,,,,,2,거의 사용하지 않는다
,,,,,3,가끔 사용한다
,,,,,4,자주 사용한다
,,,,,8,해당없음
,,기타 (구체적으로),,YMDA1B13_T,-,
,스마트폰 이용에 대해 자신이 어떻게 느끼고 있는지 응답해 주십시오.,스마트폰의 지나친 사용으로 학교성적이 떨어진다,,YMDA1C01,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,수시로 스마트폰을 사용하다가 지적을 받은 적이 있다,,YMDA1C02,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰을 너무 자주 또는 오래한다고 가족이나 친구들로부터 불평을 들은 적이 있다,,YMDA1C03,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰을 사용하느라 지금 하고 있는 일(공부)에 집중이 안 된 적이 있다,,YMDA1C04,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰 사용이 지금 하고 있는 일(공부)에 방해가 되지 않는다,,YMDA1C05,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰을 사용하지 못하면 온 세상을 잃은 것 같은 생각이 든다,,YMDA1C06,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,가족이나 친구들과 함께 있는 것보다 스마트폰을 사용하고 있는 것이 더 즐겁다,,YMDA1C07,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰을 사용할 수 없게 된다면 견디기 힘들 것이다,,YMDA1C08,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰이 없으면 안절부절 못하고 초조해진다,,YMDA1C09,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰이 없어도 불안하지 않다,,YMDA1C10,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,"스마트폰이 옆에 없으면, 하루 종일 일(공부)이 손에 안 잡힌다",,YMDA1C11,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰 사용시간을 줄이려고 해보았지만 실패한다,,YMDA1C12,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
,,,,,4,매우 그렇다
,,스마트폰을 사용할 때 그만해야지 라고 생각은 하면서도 계속한다,,YMDA1C13,1,전혀 그렇지 않다
,,,,,2,그렇지 않은 편이다
,,,,,3,그런 편이다
