var,label,dtype,n_unique,n_missing
ID,,float64,2590,0
HID,,float64,2579,0
PID,,float64,2,0
SCLIDw6,,float64,775,366
WEIGHTA1w6,,float64,323,366
WEIGHTA2w6,,float64,323,366
WEIGHTB1w6,,float64,1975,615
WEIGHTB2w6,,float64,1975,615
SURVEY1w6,,float64,2,0
SURVEY2w6,,float64,2,0
COHORTw6,,float64,1,0
ARA1Aw6,,float64,17,388
ARA2Aw6,,float64,3,388
ARA1Bw6,,float64,17,366
SCLTYPw6,,float64,11,390
YTWINw6,,float64,4,366
YBRT1Aw6,,float64,3,366
YBRT1Bw6,,float64,12,366
YGENDERw6,,float64,2,366
YTIM1A01w6,,float64,8,366
YTIM1A02w6,,float64,6,366
YTIM1B01w6,,float64,9,366
YTIM1B02w6,,float64,6,366
YTIM1C01w6,,float64,4,366
YTIM1A03w6,,float64,10,366
YTIM1A04w6,,float64,6,366
YTIM1B03w6,,float64,9,366
YTIM1B04w6,,float64,6,366
YTIM1C02w6,,float64,4,366
YTIM1D01w6,,float64,7,366
YTIM1D02w6,,float64,7,366
YTIM1E01w6,,float64,7,366
YTIM1E02w6,,float64,7,366
YTIM1F01w6,,float64,7,366
YTIM1F02w6,,float64,7,366
YTIM1G01w6,,float64,7,366
YTIM1G02w6,,float64,7,366
YTIM1H01w6,,float64,7,366
YTIM1H02w6,,float64,7,366
YTIM1I01w6,,float64,7,366
YTIM1I02w6,,float64,7,366
YTIM1J01w6,,float64,7,366
YTIM1J02w6,,float64,7,366
YTIM1K01w6,,float64,7,366
YTIM1K02w6,,float64,7,366
YTIM1L01w6,,float64,7,366
YTIM1L02w6,,float64,7,366
YTIM1M01w6,,float64,7,366
YTIM1M02w6,,float64,7,366
YTIM1N01w6,,float64,7,366
YTIM1N02w6,,float64,7,366
YINT1A00w6,,float64,6,366
YINT1B00w6,,float64,6,366
YINT2A01w6,,float64,4,366
YINT2A02w6,,float64,4,366
YINT2A03w6,,float64,4,366
YINT2A04w6,,float64,4,366
YINT2A05w6,,float64,4,366
YINT2A06w6,,float64,4,366
YINT2A07w6,,float64,4,366
YINT2A08w6,,float64,4,366
YINT2A09w6,,float64,4,366
YINT2A10w6,,float64,4,366
YINT2A11w6,,float64,4,366
YINT2A12w6,,float64,4,366
YINT2A13w6,,float64,4,366
YINT2A14w6,,float64,4,366
YINT2A15w6,,float64,4,366
YINT2A16w6,,float64,4,366
YINT2B01w6,,float64,4,366
YINT2B02w6,,float64,4,366
YINT2B03w6,,float64,4,366
YINT2B04w6,,float64,4,366
YINT2B05w6,,float64,4,366
YINT2B06w6,,float64,4,366
YINT2B07w6,,float64,4,366
YINT2B08w6,,float64,4,366
YINT2B09w6,,float64,4,366
YINT2B10w6,,float64,4,366
YINT2B11w6,,float64,4,366
YINT2B12w6,,float64,4,366
YINT2B13w6,,float64,4,366
YINT2B14w6,,float64,4,366
YINT2B15w6,,float64,4,366
YINT2B16w6,,float64,4,366
YFUR1A00w6,,float64,5,366
YFUR1B00w6,,float64,3,366
YFUR2A01w6,,float64,5,366
YFUR2A02w6,,float64,5,366
YFUR2A03w6,,float64,5,366
YFUR2A04w6,,float64,5,366
YFUR2A05w6,,float64,5,366
YFUR2A06w6,,float64,5,366
YFUR2A07w6,,float64,5,366
YFUR2A08w6,,float64,3,366
YFUR2A08_Tw6,,object,3,0
YFUR3A01w6,,float64,4,366
YFUR3A02w6,,float64,4,366
YFUR3A03w6,,float64,4,366
YFUR3B01w6,,float64,4,366
YFUR3B02w6,,float64,4,366
YFUR3B03w6,,float64,4,366
YFUR3B04w6,,float64,4,366
YFUR3B05w6,,float64,4,366
YFUR3C01w6,,float64,4,366
YFUR3C02w6,,float64,4,366
YFUR3C03w6,,float64,4,366
YFUR3C04w6,,float64,4,366
YFUR3C05w6,,float64,4,366
YPSY1A01w6,,float64,4,366
YPSY1A02w6,,float64,4,366
YPSY1A03w6,,float64,4,366
YPSY1A04w6,,float64,4,366
YPSY1A05w6,,float64,4,366
YPSY2A01w6,,float64,4,366
YPSY2A02w6,,float64,4,366
YPSY2A03w6,,float64,4,366
YPSY2A04w6,,float64,4,366
YPSY3A01w6,,float64,4,366
YPSY3A02w6,,float64,4,366
YPSY3A03w6,,float64,4,366
YPSY3A04w6,,float64,4,366
YPSY3A05w6,,float64,4,366
YPSY3A06w6,,float64,4,366
YPSY3A07w6,,float64,4,366
YPSY3A08w6,,float64,4,366
YPSY3A09w6,,float64,4,366
YPSY3A10w6,,float64,4,366
YPSY4A01w6,,float64,4,366
YPSY4A02w6,,float64,4,366
YPSY4A03w6,,float64,4,366
YPSY4A04w6,,float64,4,366
YPSY4A05w6,,float64,4,366
YPSY4A06w6,,float64,4,366
YPSY4A07w6,,float64,4,366
YPSY4B01w6,,float64,4,366
YPSY4B02w6,,float64,4,366
YPSY4B03w6,,float64,4,366
YPSY4B04w6,,float64,4,366
YPSY4B05w6,,float64,4,366
YPSY4B06w6,,float64,4,366
YPSY4C01w6,,float64,4,366
YPSY4C02w6,,float64,4,366
YPSY4C03w6,,float64,4,366
YPSY4C04w6,,float64,4,366
YPSY4C05w6,,float64,4,366
YPSY4C06w6,,float64,4,366
YPSY4C07w6,,float64,4,366
YPSY4C08w6,,float64,4,366
YPSY4D01w6,,float64,4,366
YPSY4D02w6,,float64,4,366
YPSY4D03w6,,float64,4,366
YPSY4D04w6,,float64,4,366
YPSY4D05w6,,float64,4,366
YPSY4E01w6,,float64,4,366
YPSY4E02w6,,float64,4,366
YPSY4E03w6,,float64,4,366
YPSY4E04w6,,float64,4,366
YPSY4E05w6,,float64,4,366
YPSY4E06w6,,float64,4,366
YPSY4E07w6,,float64,4,366
YPSY4E08w6,,float64,4,366
