var,label,dtype,n_unique,n_missing
ID,,float64,2590,0
HID,,float64,2579,0
PID,,float64,2,0
SCLIDw2,,float64,180,152
WEIGHTA1w2,,float64,244,152
WEIGHTA2w2,,float64,244,152
WEIGHTB1w2,,float64,776,152
WEIGHTB2w2,,float64,776,152
SURVEY1w2,,float64,2,0
SURVEY2w2,,float64,2,0
COHORTw2,,float64,1,0
ARA1Aw2,,float64,17,152
ARA2Aw2,,float64,3,152
ARA1Bw2,,float64,17,152
YTWINw2,,float64,3,152
YBRT1Aw2,,float64,3,152
YBRT1Bw2,,float64,12,152
YGENDERw2,,float64,2,152
YTIM1A01w2,,float64,4,152
YTIM1A02w2,,float64,6,152
YTIM1B01w2,,float64,10,152
YTIM1B02w2,,float64,6,152
YTIM1C01w2,,float64,4,152
YTIM1A03w2,,float64,13,152
YTIM1A04w2,,float64,6,152
YTIM1B03w2,,float64,12,152
YTIM1B04w2,,float64,6,152
YTIM1C02w2,,float64,4,152
YTIM1D01w2,,float64,7,152
YTIM1D02w2,,float64,7,152
YTIM1E01w2,,float64,7,152
YTIM1E02w2,,float64,7,152
YTIM1F01w2,,float64,7,152
YTIM1F02w2,,float64,7,152
YTIM1G01w2,,float64,7,152
YTIM1G02w2,,float64,7,152
YTIM1H01w2,,float64,7,152
YTIM1H02w2,,float64,7,152
YTIM1I01w2,,float64,7,152
YTIM1I02w2,,float64,7,152
YTIM1J01w2,,float64,7,152
YTIM1J02w2,,float64,7,152
YTIM1K01w2,,float64,7,152
YTIM1K02w2,,float64,7,152
YTIM1L01w2,,float64,7,152
YTIM1L02w2,,float64,7,152
YTIM1M01w2,,float64,7,152
YTIM1M02w2,,float64,7,152
YTIM1N01w2,,float64,7,152
YTIM1N02w2,,float64,7,152
YINT1A00w2,,float64,6,152
YINT1B00w2,,float64,6,152
YINT2A01w2,,float64,4,152
YINT2A02w2,,float64,4,152
YINT2A03w2,,float64,4,152
YINT2A04w2,,float64,4,152
YINT2A05w2,,float64,4,152
YINT2A06w2,,float64,4,152
YINT2A07w2,,float64,4,152
YINT2A08w2,,float64,4,152
YINT2A09w2,,float64,4,152
YINT2A10w2,,float64,4,152
YINT2A11w2,,float64,4,152
YINT2A12w2,,float64,4,152
YINT2A13w2,,float64,4,152
YINT2A14w2,,float64,4,152
YINT2A15w2,,float64,4,152
YINT2A16w2,,float64,4,152
YINT2B01w2,,float64,4,152
YINT2B02w2,,float64,4,152
YINT2B03w2,,float64,4,152
YINT2B04w2,,float64,4,152
YINT2B05w2,,float64,4,152
YINT2B06w2,,float64,4,152
YINT2B07w2,,float64,4,152
YINT2B08w2,,float64,4,152
YINT2B09w2,,float64,4,152
YINT2B10w2,,float64,4,152
YINT2B11w2,,float64,4,152
YINT2B12w2,,float64,4,152
YINT2B13w2,,float64,4,152
YINT2B14w2,,float64,4,152
YINT2B15w2,,float64,4,152
YINT2B16w2,,float64,4,152
YFUR1A00w2,,float64,5,152
YFUR1B00w2,,float64,3,152
YFUR2A01w2,,float64,5,152
YFUR2A02w2,,float64,5,152
YFUR2A03w2,,float64,5,152
YFUR2A04w2,,float64,5,152
YFUR2A05w2,,float64,4,152
YFUR2A06w2,,float64,5,152
YFUR2A07w2,,float64,5,152
YFUR2A08w2,,float64,5,152
YFUR2A08_Tw2,,object,4,0
YPSY1A01w2,,float64,4,152
YPSY1A02w2,,float64,4,152
YPSY1A03w2,,float64,4,152
YPSY1A04w2,,float64,4,152
YPSY1A05w2,,float64,4,152
YPSY2A01w2,,float64,4,152
YPSY2A02w2,,float64,4,152
YPSY2A03w2,,float64,4,152
YPSY2A04w2,,float64,4,152
YPSY3A01w2,,float64,4,152
YPSY3A02w2,,float64,4,152
YPSY3A03w2,,float64,4,152
YPSY3A04w2,,float64,4,152
YPSY3A05w2,,float64,4,152
YPSY3A06w2,,float64,4,152
YPSY3A07w2,,float64,4,152
YPSY3A08w2,,float64,4,152
YPSY3A09w2,,float64,4,152
YPSY3A10w2,,float64,4,152
YPSY4A01w2,,float64,4,152
YPSY4A02w2,,float64,4,152
YPSY4A03w2,,float64,4,152
YPSY4A04w2,,float64,4,152
YPSY4A05w2,,float64,4,152
YPSY4A06w2,,float64,4,152
YPSY4A07w2,,float64,4,152
YPSY4B01w2,,float64,4,152
YPSY4B02w2,,float64,4,152
YPSY4B03w2,,float64,4,152
YPSY4B04w2,,float64,4,152
YPSY4B05w2,,float64,4,152
YPSY4B06w2,,float64,4,152
YPSY4C01w2,,float64,4,152
YPSY4C02w2,,float64,4,152
YPSY4C03w2,,float64,4,152
YPSY4C04w2,,float64,4,152
YPSY4C05w2,,float64,4,152
YPSY4C06w2,,float64,4,152
YPSY4C07w2,,float64,4,152
YPSY4C08w2,,float64,4,152
YPSY4D01w2,,float64,4,152
YPSY4D02w2,,float64,4,152
YPSY4D03w2,,float64,4,152
YPSY4D04w2,,float64,4,152
YPSY4D05w2,,float64,4,152
YPSY4E01w2,,float64,4,152
YPSY4E02w2,,float64,4,152
YPSY4E03w2,,float64,4,152
YPSY4E04w2,,float64,4,152
YPSY4E05w2,,float64,4,152
YPSY4E06w2,,float64,4,152
YPSY4E07w2,,float64,4,152
YPSY4E08w2,,float64,4,152
YPSY4E09w2,,float64,4,152
YPSY4E10w2,,float64,4,152
YPSY5A01w2,,float64,4,152
YPSY5A02w2,,float64,4,152
YPSY5A03w2,,float64,4,152
YPSY5A04w2,,float64,4,152
YPSY5A05w2,,float64,4,152
YPSY5A06w2,,float64,4,152
YPSY5A07w2,,float64,4,152
YPSY5A08w2,,float64,4,152
YPSY5A09w2,,float64,4,152
YPSY5A10w2,,float64,4,152
YPSY5A11w2,,float64,4,152
YPSY5A12w2,,float64,4,152
