var,label,dtype,n_unique,n_missing
ID,,float64,3505,0
HID,,float64,2579,0
PID,,float64,4,0
PONLINEw3,,float64,2,210
PARENTw3,,float64,7,210
PYBRT1Aw3,,float64,12,210
PYBRT1Bw3,,float64,12,210
PYGENDERw3,,float64,2,210
PINCOMEw3,,float64,12,210
PINCOME1w3,,float64,5,210
PYBRP1w3,,float64,2,210
PYBRP2w3,,float64,17,239
PYBRP3w3,,object,7,0
PBRP1w3,,float64,2,210
PBRP2w3,,float64,17,259
PBRP3w3,,object,9,0
PSCHOOL1w3,,float64,9,210
PSCHOOL2w3,,float64,9,210
PSCHOOL3w3,,float64,7,210
PWORKW1w3,,float64,3,210
PWORKW2w3,,float64,3,210
PWORKW3w3,,float64,3,210
PJOB1w3,,float64,12,503
PJOB2w3,,float64,12,1127
PJOB3w3,,float64,4,3497
PJOB1_Tw3,,object,2,0
PJOB2_Tw3,,object,10,0
PJOB3_Tw3,,object,1,0
PHOMPOPw3,,float64,8,210
PFRELATION1w3,,float64,1,210
PFGENDER1w3,,float64,2,210
PFBRTA1w3,,float64,3,210
PFBRTB1w3,,float64,12,210
PFRELATION2w3,,float64,10,210
PFGENDER2w3,,float64,2,210
PFBRTA2w3,,float64,70,210
PFBRTB2w3,,float64,12,210
PFRELATION3w3,,float64,8,270
PFGENDER3w3,,float64,2,270
PFBRTA3w3,,float64,74,270
PFBRTB3w3,,float64,12,270
PFRELATION4w3,,float64,9,702
PFGENDER4w3,,float64,2,702
PFBRTA4w3,,float64,65,702
PFBRTB4w3,,float64,12,702
PFRELATION5w3,,float64,9,2491
PFGENDER5w3,,float64,2,2491
PFBRTA5w3,,float64,51,2491
PFBRTB5w3,,float64,12,2491
PFRELATION6w3,,float64,7,3290
PFGENDER6w3,,float64,2,3290
PFBRTA6w3,,float64,31,3290
PFBRTB6w3,,float64,12,3290
PFRELATION7w3,,float64,4,3449
PFGENDER7w3,,float64,2,3449
PFBRTA7w3,,float64,16,3449
PFBRTB7w3,,float64,11,3449
PFRELATION8w3,,float64,3,3491
PFGENDER8w3,,float64,2,3491
PFBRTA8w3,,float64,6,3491
PFBRTB8w3,,float64,6,3491
PFRELATION9w3,,float64,1,3504
PFGENDER9w3,,float64,1,3504
PFBRTA9w3,,float64,1,3504
