var,label,n_waves,waves
YACT1B08w2,,1,Y2
YACT1B08w3,,1,Y3
YACT1B08w4,,1,Y4
YACT1B08w5,,1,Y5
YACT1B08w6,,1,Y6
YACT1B08w7,,1,Y7
YACT1B09w1,,1,Y1
YACT1B09w2,,1,Y2
YACT1B09w3,,1,Y3
YACT1B09w4,,1,Y4
YACT1B09w5,,1,Y5
YACT1B09w6,,1,Y6
YACT1B09w7,,1,Y7
YACT2A01w1,,1,Y1
YACT2A01w2,,1,Y2
YACT2A01w3,,1,Y3
YACT2A01w4,,1,Y4
YACT2A01w5,,1,Y5
YACT2A01w6,,1,Y6
YACT2A01w7,,1,Y7
YACT2A02w1,,1,Y1
YACT2A02w2,,1,Y2
YACT2A02w3,,1,Y3
YACT2A02w4,,1,Y4
YACT2A02w5,,1,Y5
YACT2A02w6,,1,Y6
YACT2A02w7,,1,Y7
YACT2B01w1,,1,Y1
YACT2B01w2,,1,Y2
YACT2B01w3,,1,Y3
YACT2B01w4,,1,Y4
YACT2B01w5,,1,Y5
YACT2B01w6,,1,Y6
YACT2B01w7,,1,Y7
YACT2B02w1,,1,Y1
YACT2B02w2,,1,Y2
YACT2B02w3,,1,Y3
YACT2B02w4,,1,Y4
YACT2B02w5,,1,Y5
YACT2B02w6,,1,Y6
YACT2B02w7,,1,Y7
YACT3A00w1,,1,Y1
YACT3A00w2,,1,Y2
YACT3A00w3,,1,Y3
YACT3A00w4,,1,Y4
YACT3A00w5,,1,Y5
YACT3A00w6,,1,Y6
YACT3A00w7,,1,Y7
YACT3B01w1,,1,Y1
YACT3B01w2,,1,Y2
YACT3B01w3,,1,Y3
YACT3B01w4,,1,Y4
YACT3B01w5,,1,Y5
YACT3B01w6,,1,Y6
YACT3B01w7,,1,Y7
YACT3B02w1,,1,Y1
YACT3B02w2,,1,Y2
YACT3B02w3,,1,Y3
YACT3B02w4,,1,Y4
YACT3B02w5,,1,Y5
YACT3B02w6,,1,Y6
YACT3B02w7,,1,Y7
YACT3B03w1,,1,Y1
YACT3B03w2,,1,Y2
YACT3B03w3,,1,Y3
YACT3B03w4,,1,Y4
YACT3B03w5,,1,Y5
YACT3B03w6,,1,Y6
YACT3B03w7,,1,Y7
YACT3B04w1,,1,Y1
YACT3B04w2,,1,Y2
YACT3B04w3,,1,Y3
YACT3B04w4,,1,Y4
YACT3B04w5,,1,Y5
YACT3B04w6,,1,Y6
YACT3B04w7,,1,Y7
YACT3B05w1,,1,Y1
YACT3B05w2,,1,Y2
YACT3B05w3,,1,Y3
YACT3B05w4,,1,Y4
YACT3B05w5,,1,Y5
YACT3B05w6,,1,Y6
YACT3B05w7,,1,Y7
YACT3B06w1,,1,Y1
YACT3B06w2,,1,Y2
YACT3B06w3,,1,Y3
YACT3B06w4,,1,Y4
YACT3B06w5,,1,Y5
YACT3B06w6,,1,Y6
YACT3B06w7,,1,Y7
YACT3B07w1,,1,Y1
YACT3B07w2,,1,Y2
YACT3B07w3,,1,Y3
YACT3B07w4,,1,Y4
YACT3B07w5,,1,Y5
YACT3B07w6,,1,Y6
YACT3B07w7,,1,Y7
YACT3B08w1,,1,Y1
YACT3B08w2,,1,Y2
YACT3B08w3,,1,Y3
YACT3B08w4,,1,Y4
YACT3B08w5,,1,Y5
YACT3B08w6,,1,Y6
YACT3B08w7,,1,Y7
YACT3B09w1,,1,Y1
YACT3B09w2,,1,Y2
YACT3B09w3,,1,Y3
YACT3B09w4,,1,Y4
YACT3B09w5,,1,Y5
YACT3B09w6,,1,Y6
YACT3B09w7,,1,Y7
YALL1A01w7,,1,Y7
YALL1B01w7,,1,Y7
YALL1B02_Tw7,,1,Y7
YALL1B02w7,,1,Y7
YALL1C01w7,,1,Y7
YALL1C02_Tw7,,1,Y7
YALL1C02w7,,1,Y7
YALL1C03w7,,1,Y7
YALL1C04w7,,1,Y7
YBRT1Aw1,,1,Y1
YBRT1Aw2,,1,Y2
YBRT1Aw3,,1,Y3
YBRT1Aw4,,1,Y4
YBRT1Aw5,,1,Y5
YBRT1Aw6,,1,Y6
YBRT1Aw7,,1,Y7
YBRT1Bw1,,1,Y1
YBRT1Bw2,,1,Y2
YBRT1Bw3,,1,Y3
YBRT1Bw4,,1,Y4
YBRT1Bw5,,1,Y5
YBRT1Bw6,,1,Y6
YBRT1Bw7,,1,Y7
YCOM1A01w6,,1,Y6
YCOM1A02w6,,1,Y6
YCOM1A03w6,,1,Y6
YCOM1A04w6,,1,Y6
YCOM1A05w6,,1,Y6
YCOM1A06w6,,1,Y6
YCOM2A01w6,,1,Y6
YCOM2A02w6,,1,Y6
YCOM2A03w6,,1,Y6
YCOM2A04w6,,1,Y6
YCOM3A01w6,,1,Y6
YCOM3A02w6,,1,Y6
YCOM3A03w6,,1,Y6
YCOM3A04w6,,1,Y6
YCOM3A05w6,,1,Y6
YDIS1A01w3,,1,Y3
YDIS1A02w3,,1,Y3
YDIS1A03w3,,1,Y3
YDIS1A04w3,,1,Y3
YDIS1A05w3,,1,Y3
YDIS1A06w3,,1,Y3
YDIS1A07w3,,1,Y3
YDIS1A08w3,,1,Y3
YDIS1A09w3,,1,Y3
YDIS1A10w3,,1,Y3
YDIS1A11w3,,1,Y3
YDIS1A12w3,,1,Y3
YDIS1B01w3,,1,Y3
YDIS1B02w3,,1,Y3
YDIS1B03w3,,1,Y3
YDIS1B04w3,,1,Y3
YDIS1B05w3,,1,Y3
YDIS1B06w3,,1,Y3
YDIS1B07w3,,1,Y3
YDIS1B08w3,,1,Y3
YDIS1B09w3,,1,Y3
YDIS1B10w3,,1,Y3
YDIS1B11w3,,1,Y3
YDIS1B12w3,,1,Y3
YDIS2A00w3,,1,Y3
YDIS2B00w3,,1,Y3
YDIS3A01w3,,1,Y3
YDIS3A02w3,,1,Y3
YDIS3A03w3,,1,Y3
YDIS3A04w3,,1,Y3
YDIS3A05w3,,1,Y3
YDIS3A06w3,,1,Y3
YDIS3A07w3,,1,Y3
YDIS3A08w3,,1,Y3
YDIS3A09w3,,1,Y3
YDIS3A10w3,,1,Y3
YDIS3A11w3,,1,Y3
YDIS3A12w3,,1,Y3
YDLQ1A01w1,,1,Y1
YDLQ1A01w2,,1,Y2
YDLQ1A01w3,,1,Y3
YDLQ1A01w4,,1,Y4
YDLQ1A01w5,,1,Y5
YDLQ1A01w6,,1,Y6
YDLQ1A01w7,,1,Y7
YDLQ1A02w1,,1,Y1
YDLQ1A02w2,,1,Y2
YDLQ1A02w3,,1,Y3
YDLQ1A02w4,,1,Y4
YDLQ1A02w5,,1,Y5
YDLQ1A02w6,,1,Y6
YDLQ1A02w7,,1,Y7
YDLQ1A03w1,,1,Y1
YDLQ1A03w2,,1,Y2
YDLQ1A03w3,,1,Y3
YDLQ1A03w4,,1,Y4
YDLQ1A03w5,,1,Y5
YDLQ1A03w6,,1,Y6
YDLQ1A03w7,,1,Y7
YDLQ1A04w1,,1,Y1
YDLQ1A04w2,,1,Y2
YDLQ1A04w3,,1,Y3
YDLQ1A04w4,,1,Y4
YDLQ1A04w5,,1,Y5
YDLQ1A04w6,,1,Y6
YDLQ1A04w7,,1,Y7
YDLQ1A05w1,,1,Y1
YDLQ1A05w2,,1,Y2
YDLQ1A05w3,,1,Y3
YDLQ1A05w4,,1,Y4
YDLQ1A05w5,,1,Y5
YDLQ1A05w6,,1,Y6
YDLQ1A05w7,,1,Y7
YDLQ1A06w1,,1,Y1
YDLQ1A06w2,,1,Y2
YDLQ1A06w3,,1,Y3
YDLQ1A06w4,,1,Y4
YDLQ1A06w5,,1,Y5
YDLQ1A06w6,,1,Y6
YDLQ1A06w7,,1,Y7
YDLQ1A07w1,,1,Y1
YDLQ1A07w2,,1,Y2
YDLQ1A07w3,,1,Y3
YDLQ1A07w4,,1,Y4
YDLQ1A07w5,,1,Y5
YDLQ1A07w6,,1,Y6
YDLQ1A07w7,,1,Y7
YDLQ1A08w1,,1,Y1
YDLQ1A08w2,,1,Y2
YDLQ1A08w3,,1,Y3
YDLQ1A08w4,,1,Y4
YDLQ1A08w5,,1,Y5
YDLQ1A08w6,,1,Y6
YDLQ1A08w7,,1,Y7
YDLQ1A09w1,,1,Y1
YDLQ1A09w2,,1,Y2
YDLQ1A09w3,,1,Y3
YDLQ1A09w4,,1,Y4
YDLQ1A09w5,,1,Y5
YDLQ1A09w6,,1,Y6
YDLQ1A09w7,,1,Y7
YDLQ1A10w1,,1,Y1
YDLQ1A10w2,,1,Y2
YDLQ1A10w3,,1,Y3
YDLQ1A10w4,,1,Y4
YDLQ1A10w5,,1,Y5
YDLQ1A10w6,,1,Y6
YDLQ1A10w7,,1,Y7
YDLQ1A11w1,,1,Y1
YDLQ1A11w2,,1,Y2
YDLQ1A11w3,,1,Y3
YDLQ1A11w4,,1,Y4
YDLQ1A11w5,,1,Y5
YDLQ1A11w6,,1,Y6
YDLQ1A11w7,,1,Y7
YDLQ1A12w1,,1,Y1
YDLQ1A12w2,,1,Y2
YDLQ1A12w3,,1,Y3
YDLQ1A12w4,,1,Y4
YDLQ1A12w5,,1,Y5
YDLQ1A12w6,,1,Y6
YDLQ1A12w7,,1,Y7
YDLQ1A13w1,,1,Y1
YDLQ1A13w2,,1,Y2
YDLQ1A13w3,,1,Y3
YDLQ1A13w4,,1,Y4
YDLQ1A13w5,,1,Y5
YDLQ1A13w6,,1,Y6
YDLQ1A13w7,,1,Y7
YDLQ1A14w1,,1,Y1
YDLQ1A14w2,,1,Y2
YDLQ1A14w3,,1,Y3
YDLQ1A14w4,,1,Y4
YDLQ1A14w5,,1,Y5
YDLQ1A14w6,,1,Y6
YDLQ1A14w7,,1,Y7
YDLQ1A15w1,,1,Y1
YDLQ1A15w2,,1,Y2
YDLQ1A15w3,,1,Y3
YDLQ1A15w4,,1,Y4
YDLQ1A15w5,,1,Y5
YDLQ1A15w6,,1,Y6
YDLQ1A15w7,,1,Y7
YDLQ2A01w1,,1,Y1
YDLQ2A01w2,,1,Y2
YDLQ2A01w3,,1,Y3
YDLQ2A01w4,,1,Y4
YDLQ2A01w5,,1,Y5
YDLQ2A01w6,,1,Y6
YDLQ2A01w7,,1,Y7
YDLQ2A02w1,,1,Y1
YDLQ2A02w2,,1,Y2
YDLQ2A02w3,,1,Y3
YDLQ2A02w4,,1,Y4
YDLQ2A02w5,,1,Y5
YDLQ2A02w6,,1,Y6
YDLQ2A02w7,,1,Y7
YDLQ2A03w1,,1,Y1
YDLQ2A03w2,,1,Y2
YDLQ2A03w3,,1,Y3
YDLQ2A03w4,,1,Y4
YDLQ2A03w5,,1,Y5
YDLQ2A03w6,,1,Y6
YDLQ2A03w7,,1,Y7
YDLQ2A04w1,,1,Y1
YDLQ2A04w2,,1,Y2
YDLQ2A04w3,,1,Y3
YDLQ2A04w4,,1,Y4
YDLQ2A04w5,,1,Y5
YDLQ2A04w6,,1,Y6
YDLQ2A04w7,,1,Y7
YDLQ2A05w1,,1,Y1
YDLQ2A05w2,,1,Y2
YDLQ2A05w3,,1,Y3
YDLQ2A05w4,,1,Y4
YDLQ2A05w5,,1,Y5
YDLQ2A05w6,,1,Y6
YDLQ2A05w7,,1,Y7
YDLQ2A06w1,,1,Y1
YDLQ2A06w2,,1,Y2
YDLQ2A06w3,,1,Y3
YDLQ2A06w4,,1,Y4
YDLQ2A06w5,,1,Y5
YDLQ2A06w6,,1,Y6
YDLQ2A06w7,,1,Y7
YDLQ2A07w1,,1,Y1
YDLQ2A07w2,,1,Y2
YDLQ2A07w3,,1,Y3
YDLQ2A07w4,,1,Y4
YDLQ2A07w5,,1,Y5
YDLQ2A07w6,,1,Y6
YDLQ2A07w7,,1,Y7
YDLQ2A08w1,,1,Y1
YDLQ2A08w2,,1,Y2
YDLQ2A08w3,,1,Y3
YDLQ2A08w4,,1,Y4
YDLQ2A08w5,,1,Y5
YDLQ2A08w6,,1,Y6
YDLQ2A08w7,,1,Y7
YDLQ2A09w1,,1,Y1
YDLQ2A09w2,,1,Y2
YDLQ2A09w3,,1,Y3
YDLQ2A09w4,,1,Y4
YDLQ2A09w5,,1,Y5
YDLQ2A09w6,,1,Y6
YDLQ2A09w7,,1,Y7
YDLQ2A10w1,,1,Y1
