var,label,dtype,n_unique,n_missing
YPSY6A21w1,,float64,2,0
YPSY6A22w1,,float64,2,0
YPSY6A23w1,,float64,2,0
YPSY6A24w1,,float64,2,0
YPSY6A25w1,,float64,2,0
YPSY6A26w1,,float64,2,0
YPSY6A27w1,,float64,2,0
YPSY6A28w1,,float64,2,0
YPSY6A29w1,,float64,2,0
YPSY6A30w1,,float64,2,0
YPSY6Ascw1,,float64,23,0
YPSY7A01w1,,float64,4,0
YPSY7A02w1,,float64,4,0
YPSY7A03w1,,float64,4,0
YPSY7A04w1,,float64,4,0
YPSY7A05w1,,float64,4,0
YPSY7A06w1,,float64,4,0
YPSY7A07w1,,float64,4,0
YPSY7A08w1,,float64,4,0
YDLQ1A01w1,,float64,6,0
YDLQ1A02w1,,float64,5,0
YDLQ1A03w1,,float64,6,0
YDLQ1A04w1,,float64,5,0
YDLQ1A05w1,,float64,6,0
YDLQ1A06w1,,float64,6,0
YDLQ1A07w1,,float64,5,0
YDLQ1A08w1,,float64,5,0
YDLQ1A09w1,,float64,6,0
YDLQ1A10w1,,float64,4,0
YDLQ1A11w1,,float64,5,0
YDLQ1A12w1,,float64,2,0
YDLQ1A13w1,,float64,5,0
YDLQ1A14w1,,float64,5,0
YDLQ1A15w1,,float64,6,0
YDLQ2A01w1,,float64,6,0
YDLQ2A02w1,,float64,6,0
YDLQ2A03w1,,float64,5,0
YDLQ2A04w1,,float64,6,0
YDLQ2A05w1,,float64,4,0
YDLQ2A06w1,,float64,3,0
YDLQ2A07w1,,float64,3,0
YDLQ2A08w1,,float64,4,0
YDLQ2A09w1,,float64,4,0
YDLQ2A10w1,,float64,5,0
YDLQ2A11w1,,float64,5,0
YDLQ2A12w1,,float64,3,0
YDLQ2A13w1,,float64,5,0
YDLQ2A14w1,,float64,6,0
YDLQ2A15w1,,float64,6,0
YPHY1A00w1,,float64,4,0
YPHY1B00w1,,float64,5,0
YPHY1C00w1,,float64,8,0
YPHY2A00w1,,float64,46,2
YPHY2B00w1,,float64,70,4
YMDA1A00w1,,float64,3,0
YMDA1B01w1,,float64,4,49
YMDA1B02w1,,float64,4,49
YMDA1B03w1,,float64,4,49
YMDA1B04w1,,float64,4,49
YMDA1B05w1,,float64,4,49
YMDA1B06w1,,float64,4,49
YMDA1B07w1,,float64,4,49
YMDA1B08w1,,float64,4,49
YMDA1B09w1,,float64,4,49
YMDA1B10w1,,float64,4,49
YMDA1B11w1,,float64,4,49
YMDA1B13w1,,float64,4,49
YMDA1B13_Tw1,,object,13,0
YMDA1C01w1,,float64,4,49
YMDA1C02w1,,float64,4,49
YMDA1C03w1,,float64,4,49
YMDA1C04w1,,float64,4,49
YMDA1C05w1,,float64,4,49
YMDA1C06w1,,float64,4,49
YMDA1C07w1,,float64,4,49
