var,label,dtype,n_unique,n_missing
ID,,float64,3346,0
HID,,float64,2579,0
PID,,float64,4,0
PARENTw6,,float64,7,369
PYBRT1Aw6,,float64,12,369
PYBRT1Bw6,,float64,12,369
PYGENDERw6,,float64,2,369
PINCOMEw6,,float64,12,369
PINCOME1w6,,float64,5,369
PYBRP1w6,,float64,2,369
PYBRP2w6,,float64,17,397
PYBRP3w6,,object,7,0
PBRP1w6,,float64,2,369
PBRP2w6,,float64,17,411
PBRP3w6,,object,9,0
PSCHOOL1w6,,float64,9,369
PSCHOOL2w6,,float64,8,369
PSCHOOL3w6,,float64,6,369
PWORKW1w6,,float64,3,369
PWORKW2w6,,float64,3,369
PWORKW3w6,,float64,3,369
PJOB1w6,,float64,11,614
PJOB2w6,,float64,11,1168
PJOB3w6,,float64,5,3336
PJOB1_Tw6,,object,4,0
PJOB2_Tw6,,object,4,0
PJOB3_Tw6,,object,1,0
PHOMPOPw6,,float64,7,369
PFRELATION1w6,,float64,1,369
PFGENDER1w6,,float64,2,369
PFBRTA1w6,,float64,3,369
PFBRTB1w6,,float64,12,369
PFRELATION2w6,,float64,7,369
PFGENDER2w6,,float64,2,369
PFBRTA2w6,,float64,68,369
PFBRTB2w6,,float64,12,369
PFRELATION3w6,,float64,7,435
PFGENDER3w6,,float64,2,435
PFBRTA3w6,,float64,74,435
PFBRTB3w6,,float64,12,435
PFRELATION4w6,,float64,8,877
PFGENDER4w6,,float64,2,877
PFBRTA4w6,,float64,66,877
PFBRTB4w6,,float64,12,877
PFRELATION5w6,,float64,9,2482
PFGENDER5w6,,float64,2,2482
PFBRTA5w6,,float64,55,2482
PFBRTB5w6,,float64,12,2482
PFRELATION6w6,,float64,6,3179
PFGENDER6w6,,float64,2,3179
PFBRTA6w6,,float64,30,3179
PFBRTB6w6,,float64,12,3179
PFRELATION7w6,,float64,5,3307
PFGENDER7w6,,float64,2,3307
PFBRTA7w6,,float64,15,3307
PFBRTB7w6,,float64,9,3307
PFRELATION8w6,,float64,2,3337
PFGENDER8w6,,float64,1,3337
PFBRTA8w6,,float64,5,3337
PFBRTB8w6,,float64,4,3337
PFRELATION9w6,,float64,0,3346
PFGENDER9w6,,float64,0,3346
PFBRTA9w6,,float64,0,3346
PFBRTB9w6,,float64,0,3346
PFAM1A00w6,,float64,6,369
PFAM1A00_Tw6,,object,3,0
PFAM2A01w6,,float64,7,369
PFAM2A01_Tw6,,object,2,0
PFAM2A02w6,,float64,7,369
PFAM2A02_Tw6,,object,3,0
PFAM2A03w6,,float64,7,369
PFAM2A03_Tw6,,object,4,0
PFAM2A04w6,,float64,7,369
PFAM2A04_Tw6,,object,4,0
PFAM3A00w6,,float64,6,369
PFAM3B00w6,,float64,6,369
PFAM3C00w6,,float64,6,369
PFAM3D00w6,,float64,5,369
PFAM6A00w6,,float64,7,366
PFAM6B00w6,,float64,5,1122
PFAM5A01w6,,float64,12,405
PFAM5A02w6,,float64,6,405
PFAM5A03w6,,float64,20,405
PFAM5A04w6,,float64,6,405
PFAM5B01w6,,float64,14,821
PFAM5B02w6,,float64,6,821
PFAM5B03w6,,float64,19,821
PFAM5B04w6,,float64,6,821
PFAM5C01w6,,float64,12,2589
PFAM5C02w6,,float64,6,2589
PFAM5C03w6,,float64,18,2589
PFAM5C04w6,,float64,6,2589
PFAM5D01w6,,float64,10,3269
PFAM5D02w6,,float64,5,3269
PFAM5D03w6,,float64,13,3269
PFAM5D04w6,,float64,5,3269
PFAM5E01w6,,float64,4,3333
PFAM5E02w6,,float64,3,3333
PFAM5E03w6,,float64,6,3333
PFAM5E04w6,,float64,2,3333
PFAM5F01w6,,float64,1,3343
PFAM5F02w6,,float64,1,3343
PFAM5F03w6,,float64,1,3343
PFAM5F04w6,,float64,1,3343
PFAM5G01w6,,float64,0,3346
PFAM5G02w6,,float64,0,3346
PFAM5G03w6,,float64,0,3346
PFAM5G04w6,,float64,0,3346
PEDU1A00w6,,float64,2,369
PEDU1B01w6,,float64,7,798
PEDU1B02w6,,float64,8,798
PEDU1B02_Tw6,,object,4,0
