var,label,dtype,n_unique,n_missing
ID,,float64,2590,0
HID,,float64,2579,0
PID,,float64,2,0
PARENTw1,,float64,7,0
PYBRT1Aw1,,float64,3,0
PYBRT1Bw1,,float64,12,0
PYGENDERw1,,float64,2,0
PINCOMEw1,,float64,12,3
PINCOME1w1,,float64,5,5
PYBRP1w1,,float64,2,0
PYBRP2w1,,float64,17,28
PYBRP3w1,,object,7,0
PBRP1w1,,float64,2,0
PBRP2w1,,float64,17,39
PBRP3w1,,object,9,0
PSCHOOL1w1,,float64,9,0
PSCHOOL2w1,,float64,9,0
PSCHOOL3w1,,float64,7,0
PWORKW1w1,,float64,3,0
PWORKW2w1,,float64,3,0
PWORKW3w1,,float64,3,0
PJOB1w1,,float64,11,216
PJOB2w1,,float64,11,751
PJOB3w1,,float64,3,2584
PJOB1_Tw1,,object,5,0
PJOB2_Tw1,,object,4,0
PJOB3_Tw1,,object,1,0
PHOMPOPw1,,float64,7,0
PRELATE1w1,,float64,1,0
PGENDER1w1,,float64,2,0
PBRTA1w1,,float64,49,0
PBRTB1w1,,float64,12,0
PRELATE2w1,,float64,8,0
PGENDER2w1,,float64,2,0
PBRTA2w1,,float64,68,0
PBRTB2w1,,float64,12,0
PRELATE3w1,,float64,8,64
PGENDER3w1,,float64,2,64
PBRTA3w1,,float64,69,64
PBRTB3w1,,float64,12,64
PRELATE4w1,,float64,8,461
PGENDER4w1,,float64,2,461
PBRTA4w1,,float64,58,461
PBRTB4w1,,float64,12,461
PRELATE5w1,,float64,7,1863
PGENDER5w1,,float64,2,1863
PBRTA5w1,,float64,54,1863
PBRTB5w1,,float64,12,1863
PRELATE6w1,,float64,5,2422
PGENDER6w1,,float64,2,2422
PBRTA6w1,,float64,44,2422
PBRTB6w1,,float64,12,2422
PRELATE7w1,,float64,5,2552
PGENDER7w1,,float64,2,2552
PBRTA7w1,,float64,23,2552
PBRTB7w1,,float64,12,2552
PRELATE8w1,,float64,3,2582
PGENDER8w1,,float64,2,2582
PBRTA8w1,,float64,7,2582
PBRTB8w1,,float64,7,2582
PFRELATION1w1,,float64,1,0
PFGENDER1w1,,float64,2,0
PFBRTA1w1,,float64,3,0
PFBRTB1w1,,float64,12,0
PFRELATION2w1,,float64,8,0
PFGENDER2w1,,float64,2,0
PFBRTA2w1,,float64,49,0
PFBRTB2w1,,float64,12,0
PFRELATION3w1,,float64,7,64
PFGENDER3w1,,float64,2,64
PFBRTA3w1,,float64,72,64
PFBRTB3w1,,float64,12,64
PFRELATION4w1,,float64,9,461
PFGENDER4w1,,float64,2,461
PFBRTA4w1,,float64,76,461
PFBRTB4w1,,float64,12,461
PFRELATION5w1,,float64,9,1863
PFGENDER5w1,,float64,2,1863
PFBRTA5w1,,float64,67,1863
PFBRTB5w1,,float64,12,1863
PFRELATION6w1,,float64,8,2422
PFGENDER6w1,,float64,2,2422
PFBRTA6w1,,float64,52,2422
PFBRTB6w1,,float64,12,2422
PFRELATION7w1,,float64,5,2552
PFGENDER7w1,,float64,2,2552
PFBRTA7w1,,float64,25,2552
PFBRTB7w1,,float64,12,2552
PFRELATION8w1,,float64,3,2582
PFGENDER8w1,,float64,2,2582
PFBRTA8w1,,float64,7,2582
PFBRTB8w1,,float64,7,2582
PFAM1A00w1,,float64,6,0
PFAM1A00_Tw1,,object,4,0
PFAM2A01w1,,float64,7,0
PFAM2A01_Tw1,,object,2,0
PFAM2A02w1,,float64,7,0
PFAM2A02_Tw1,,object,2,0
PFAM2A03w1,,float64,7,0
PFAM2A03_Tw1,,object,3,0
PFAM2A04w1,,float64,7,0
PFAM2A04_Tw1,,object,3,0
PFAM3A00w1,,float64,6,0
PFAM3B00w1,,float64,6,0
PFAM3C00w1,,float64,6,0
PFAM3D00w1,,float64,5,0
PFAM4A01w1,,float64,17,0
PFAM4A02w1,,float64,6,0
PFAM4A03w1,,float64,22,0
PFAM4A04w1,,float64,6,0
PEDU1A00w1,,float64,2,0
PEDU1B01w1,,float64,8,371
PEDU1B02w1,,float64,8,371
PEDU1B02_Tw1,,object,6,0
PEDU1C00w1,,float64,92,372
PEDU1B03w1,,float64,8,2219
PEDU1B04w1,,float64,8,2219
PEDU1B04_Tw1,,object,6,0
PPSY1A01w1,,float64,4,0
PPSY1A02w1,,float64,4,0
PPSY1A03w1,,float64,4,0
PPSY1A04w1,,float64,4,0
PPSY1A05w1,,float64,4,0
PPSY2A01w1,,float64,4,0
PPSY2A02w1,,float64,4,0
PPSY2A03w1,,float64,4,0
PPSY2A04w1,,float64,4,0
PPSY3A01w1,,float64,4,0
PPSY3A02w1,,float64,4,0
PPSY3A03w1,,float64,4,0
PPSY3A04w1,,float64,4,0
PPSY3A05w1,,float64,4,0
PPSY3A06w1,,float64,4,0
PPSY3A07w1,,float64,4,0
PPSY3A08w1,,float64,4,0
PPSY3A09w1,,float64,4,0
PPSY3A10w1,,float64,4,0
PPSY4A01w1,,float64,2,0
PPSY4A02w1,,float64,2,0
PPSY4A03w1,,float64,2,0
PPSY4A04w1,,float64,2,0
PPSY4A05w1,,float64,2,0
PPSY4A06w1,,float64,2,0
PPSY4A07w1,,float64,2,0
PPSY4A08w1,,float64,2,0
PPSY4A09w1,,float64,2,0
PPSY4A10w1,,float64,2,0
PPSY4A11w1,,float64,2,0
PPSY4A12w1,,float64,2,0
PPSY4A13w1,,float64,2,0
PPSY4A14w1,,float64,2,0
PPSY4A15w1,,float64,2,0
PPSY4A16w1,,float64,2,0
PPSY4A17w1,,float64,2,0
PPSY4A18w1,,float64,2,0
PPSY4A19w1,,float64,2,0
PPSY4A20w1,,float64,2,0
PPSY4A21w1,,float64,2,0
PPSY4A22w1,,float64,2,0
PPSY4A23w1,,float64,2,0
