var,label,dtype,n_unique,n_missing
ID,,float64,2590,0
HID,,float64,2579,0
PID,,float64,2,0
SCLIDw4,,float64,790,325
WEIGHTA1w4,,float64,308,325
WEIGHTA2w4,,float64,308,325
WEIGHTB1w4,,float64,2087,430
WEIGHTB2w4,,float64,2087,430
SURVEY1w4,,float64,2,0
SURVEY2w4,,float64,2,0
COHORTw4,,float64,1,0
ARA1Aw4,,float64,17,336
ARA2Aw4,,float64,3,336
ARA1Bw4,,float64,17,325
SCLTYPw4,,float64,7,336
YTWINw4,,float64,3,325
YBRT1Aw4,,float64,3,325
YBRT1Bw4,,float64,12,325
YGENDERw4,,float64,2,325
YTIM1A01w4,,float64,8,325
YTIM1A02w4,,float64,6,325
YTIM1B01w4,,float64,9,325
YTIM1B02w4,,float64,6,325
YTIM1C01w4,,float64,4,325
YTIM1A03w4,,float64,11,325
YTIM1A04w4,,float64,6,325
YTIM1B03w4,,float64,11,325
YTIM1B04w4,,float64,6,325
YTIM1C02w4,,float64,4,325
YTIM1D01w4,,float64,7,325
YTIM1D02w4,,float64,7,325
YTIM1E01w4,,float64,7,325
YTIM1E02w4,,float64,7,325
YTIM1F01w4,,float64,7,325
YTIM1F02w4,,float64,7,325
YTIM1G01w4,,float64,7,325
YTIM1G02w4,,float64,7,325
YTIM1H01w4,,float64,7,325
YTIM1H02w4,,float64,7,325
YTIM1I01w4,,float64,7,325
YTIM1I02w4,,float64,7,325
YTIM1J01w4,,float64,7,325
YTIM1J02w4,,float64,7,325
YTIM1K01w4,,float64,7,325
YTIM1K02w4,,float64,7,325
YTIM1L01w4,,float64,7,325
YTIM1L02w4,,float64,7,325
YTIM1M01w4,,float64,7,325
YTIM1M02w4,,float64,7,325
YTIM1N01w4,,float64,7,325
YTIM1N02w4,,float64,7,325
YINT1A00w4,,float64,6,325
YINT1B00w4,,float64,6,325
YINT2A01w4,,float64,4,325
YINT2A02w4,,float64,4,325
YINT2A03w4,,float64,4,325
YINT2A04w4,,float64,4,325
YINT2A05w4,,float64,4,325
YINT2A06w4,,float64,4,325
YINT2A07w4,,float64,4,325
YINT2A08w4,,float64,4,325
YINT2A09w4,,float64,4,325
YINT2A10w4,,float64,4,325
YINT2A11w4,,float64,4,325
YINT2A12w4,,float64,4,325
YINT2A13w4,,float64,4,325
YINT2A14w4,,float64,4,325
YINT2A15w4,,float64,4,325
YINT2A16w4,,float64,4,325
YINT2B01w4,,float64,4,325
YINT2B02w4,,float64,4,325
YINT2B03w4,,float64,4,325
YINT2B04w4,,float64,4,325
YINT2B05w4,,float64,4,325
YINT2B06w4,,float64,4,325
YINT2B07w4,,float64,4,325
YINT2B08w4,,float64,4,325
YINT2B09w4,,float64,4,325
YINT2B10w4,,float64,4,325
YINT2B11w4,,float64,4,325
YINT2B12w4,,float64,4,325
YINT2B13w4,,float64,4,325
YINT2B14w4,,float64,4,325
YINT2B15w4,,float64,4,325
YINT2B16w4,,float64,4,325
YFUR1A00w4,,float64,5,325
YFUR1B00w4,,float64,3,325
YFUR2A01w4,,float64,5,325
YFUR2A02w4,,float64,5,325
YFUR2A03w4,,float64,5,325
YFUR2A04w4,,float64,5,325
YFUR2A05w4,,float64,5,325
YFUR2A06w4,,float64,5,325
YFUR2A07w4,,float64,5,325
YFUR2A08w4,,float64,3,325
YFUR2A08_Tw4,,object,3,0
YFUR3A01w4,,float64,4,325
YFUR3A02w4,,float64,4,325
YFUR3A03w4,,float64,4,325
YFUR3B01w4,,float64,4,325
YFUR3B02w4,,float64,4,325
YFUR3B03w4,,float64,4,325
YFUR3B04w4,,float64,4,325
YFUR3B05w4,,float64,4,325
YFUR3C01w4,,float64,4,325
YFUR3C02w4,,float64,4,325
YFUR3C03w4,,float64,4,325
YFUR3C04w4,,float64,4,325
YFUR3C05w4,,float64,4,325
YPSY1A01w4,,float64,4,325
YPSY1A02w4,,float64,4,325
YPSY1A03w4,,float64,4,325
YPSY1A04w4,,float64,4,325
YPSY1A05w4,,float64,4,325
YPSY2A01w4,,float64,4,325
YPSY2A02w4,,float64,4,325
YPSY2A03w4,,float64,4,325
YPSY2A04w4,,float64,4,325
YPSY3A01w4,,float64,4,325
YPSY3A02w4,,float64,4,325
YPSY3A03w4,,float64,4,325
YPSY3A04w4,,float64,4,325
YPSY3A05w4,,float64,4,325
YPSY3A06w4,,float64,4,325
YPSY3A07w4,,float64,4,325
YPSY3A08w4,,float64,4,325
YPSY3A09w4,,float64,4,325
YPSY3A10w4,,float64,4,325
YPSY4A01w4,,float64,4,325
YPSY4A02w4,,float64,4,325
YPSY4A03w4,,float64,4,325
YPSY4A04w4,,float64,4,325
YPSY4A05w4,,float64,4,325
YPSY4A06w4,,float64,4,325
YPSY4A07w4,,float64,4,325
YPSY4B01w4,,float64,4,325
YPSY4B02w4,,float64,4,325
YPSY4B03w4,,float64,4,325
YPSY4B04w4,,float64,4,325
YPSY4B05w4,,float64,4,325
YPSY4B06w4,,float64,4,325
YPSY4C01w4,,float64,4,325
YPSY4C02w4,,float64,4,325
YPSY4C03w4,,float64,4,325
YPSY4C04w4,,float64,4,325
YPSY4C05w4,,float64,4,325
YPSY4C06w4,,float64,4,325
YPSY4C07w4,,float64,4,325
YPSY4C08w4,,float64,4,325
YPSY4D01w4,,float64,4,325
YPSY4D02w4,,float64,4,325
YPSY4D03w4,,float64,4,325
YPSY4D04w4,,float64,4,325
YPSY4D05w4,,float64,4,325
YPSY4E01w4,,float64,4,325
YPSY4E02w4,,float64,4,325
YPSY4E03w4,,float64,4,325
YPSY4E04w4,,float64,4,325
YPSY4E05w4,,float64,4,325
YPSY4E06w4,,float64,4,325
YPSY4E07w4,,float64,4,325
YPSY4E08w4,,float64,4,325
