var,label,dtype,n_unique,n_missing
ID,,float64,3628,0
HID,,float64,2579,0
PID,,float64,3,0
PARENTw2,,float64,7,152
PYBRT1Aw2,,float64,14,152
PYBRT1Bw2,,float64,12,152
PYGENDERw2,,float64,2,152
PINCOMEw2,,float64,13,152
PINCOME1w2,,float64,6,152
PYBRP1w2,,float64,2,152
PYBRP2w2,,float64,17,190
PYBRP3w2,,object,8,0
PBRP1w2,,float64,3,205
PBRP2w2,,float64,18,255
PBRP3w2,,object,9,0
PSCHOOL1w2,,float64,9,152
PSCHOOL2w2,,float64,9,152
PSCHOOL3w2,,float64,7,152
PWORKW1w2,,float64,3,152
PWORKW2w2,,float64,3,152
PWORKW3w2,,float64,3,152
PJOB1w2,,float64,12,544
PJOB2w2,,float64,12,1160
PJOB3w2,,float64,5,3621
PJOB1_Tw2,,object,2,0
PJOB2_Tw2,,object,10,0
PJOB3_Tw2,,object,1,0
PHOMPOPw2,,float64,7,152
PFRELATION1w2,,float64,1,152
PFGENDER1w2,,float64,2,152
PFBRTA1w2,,float64,3,152
PFBRTB1w2,,float64,12,152
PFRELATION2w2,,float64,10,152
PFGENDER2w2,,float64,2,152
PFBRTA2w2,,float64,62,152
PFBRTB2w2,,float64,12,152
PFRELATION3w2,,float64,9,207
PFGENDER3w2,,float64,2,207
PFBRTA3w2,,float64,73,207
PFBRTB3w2,,float64,12,207
PFRELATION4w2,,float64,9,608
PFGENDER4w2,,float64,2,608
PFBRTA4w2,,float64,67,608
PFBRTB4w2,,float64,12,608
PFRELATION5w2,,float64,8,2523
PFGENDER5w2,,float64,2,2523
PFBRTA5w2,,float64,47,2523
PFBRTB5w2,,float64,12,2523
PFRELATION6w2,,float64,4,3398
PFGENDER6w2,,float64,2,3398
PFBRTA6w2,,float64,25,3398
PFBRTB6w2,,float64,12,3398
PFRELATION7w2,,float64,2,3571
PFGENDER7w2,,float64,2,3571
PFBRTA7w2,,float64,14,3571
PFBRTB7w2,,float64,11,3571
PFRELATION8w2,,float64,3,3611
PFGENDER8w2,,float64,2,3611
PFBRTA8w2,,float64,7,3611
PFBRTB8w2,,float64,7,3611
PFAM1A00w2,,float64,6,152
PFAM1A00_Tw2,,object,6,0
PFAM2A01w2,,float64,7,152
PFAM2A01_Tw2,,object,3,0
PFAM2A02w2,,float64,7,152
PFAM2A02_Tw2,,object,3,0
PFAM2A03w2,,float64,7,152
PFAM2A03_Tw2,,object,5,0
PFAM2A04w2,,float64,7,152
PFAM2A04_Tw2,,object,6,0
PFAM3A00w2,,float64,6,152
PFAM3B00w2,,float64,6,152
PFAM3C00w2,,float64,6,152
PFAM3D00w2,,float64,5,152
PFAM6A00w2,,float64,7,163
PFAM6B00w2,,float64,5,163
PFAM5A01w2,,float64,17,216
PFAM5A02w2,,float64,6,216
PFAM5A03w2,,float64,23,216
PFAM5A04w2,,float64,6,216
PFAM5B01w2,,float64,16,569
PFAM5B02w2,,float64,6,569
PFAM5B03w2,,float64,22,569
PFAM5B04w2,,float64,6,569
PFAM5C01w2,,float64,15,2688
PFAM5C02w2,,float64,6,2688
PFAM5C03w2,,float64,21,2688
PFAM5C04w2,,float64,6,2688
PFAM5D01w2,,float64,13,3508
PFAM5D02w2,,float64,5,3508
PFAM5D03w2,,float64,19,3508
PFAM5D04w2,,float64,5,3508
PFAM5E01w2,,float64,10,3607
