term,coef_logit,se,OR,ci_low,ci_high,p,n_obs,n_ids,event_rate,working_corr
lag_gender_female,-0.5699802009398266,0.06420051082841842,0.565536635682572,0.4986687645379585,0.6413710042486864,6.799641373437414e-19,10374,2428,0.13263929053402737,0.025875957571781193
lag_smartphone_dependence,0.10595948973880544,0.035351064491310785,1.1117768372241945,1.0373520943897983,1.1915411772656743,0.002723384365645894,10374,2428,0.13263929053402737,0.025875957571781193
lag_aggression,0.11278406072777634,0.0472313552505468,1.1193901865460372,1.0204162215820076,1.2279640045244709,0.016944651583643017,10374,2428,0.13263929053402737,0.025875957571781193
lag_offline_freq,0.058960261395255086,0.024831330185420348,1.060733087849698,1.0103439871769637,1.1136352548630375,0.01757605688399206,10374,2428,0.13263929053402737,0.025875957571781193
lag_parent_rejection,0.08542222471028074,0.037511086916910914,1.0891768470049359,1.0119715869685872,1.1722722449206848,0.02277113854449649,10374,2428,0.13263929053402737,0.025875957571781193
lag_parent_education_max,-0.05898816495049866,0.033023425414564454,0.9427179262044,0.8836324540515711,1.005754241271062,0.07405843920217514,10374,2428,0.13263929053402737,0.025875957571781193
lag_parent_coercion,0.05719587377631457,0.039023485786540316,1.058863193616704,0.9808947061426586,1.1430291709955487,0.14273596630875665,10374,2428,0.13263929053402737,0.025875957571781193
lag_academic_engagement,-0.05119295056205894,0.03828648501833132,0.9500953314170966,0.8814081665404704,1.0241352111855153,0.18118921768003904,10374,2428,0.13263929053402737,0.025875957571781193
lag_self_esteem,0.05487913123751144,0.04461804745976982,1.0564129196362058,0.9679525206888626,1.1529576429844546,0.21870606127063752,10374,2428,0.13263929053402737,0.025875957571781193
lag_parent_income,-0.025325586562274183,0.03362943017644389,0.9749924159159621,0.9127992795511295,1.041423051474261,0.451402998295813,10374,2428,0.13263929053402737,0.025875957571781193
lag_life_satisfaction,0.02765402161696302,0.039092019666575405,1.0280399432883263,0.952213183578492,1.109904949041431,0.47931274165120274,10374,2428,0.13263929053402737,0.025875957571781193
lag_parent_warmth,0.02435651793590715,0.03561804527512946,1.0246555608644925,0.9555627444883013,1.098744194943215,0.4940855339816529,10374,2428,0.13263929053402737,0.025875957571781193
lag_academic_helplessness,-0.01722116916923071,0.0410152032534634,0.9829262676068025,0.9070016882197014,1.065206449006534,0.6745783623190742,10374,2428,0.13263929053402737,0.025875957571781193
lag_attention_problem,0.017122410091706772,0.04194832604970632,1.0172698387983066,0.9369772197249041,1.104442993003139,0.6831425389392773,10374,2428,0.13263929053402737,0.025875957571781193
lag_parent_inconsistency,0.015852781047790903,0.03922159660974003,1.0159791030166712,0.940802966846149,1.0971622902368667,0.6860766828248113,10374,2428,0.13263929053402737,0.025875957571781193
lag_grit,0.015671892822516294,0.039273938276522175,1.0157953409805058,0.94053630780192,1.0970763873743097,0.6898633466516253,10374,2428,0.13263929053402737,0.025875957571781193
lag_depression,0.01630734448181346,0.04138250829713713,1.016441034947362,0.9372526726523583,1.1023200121703751,0.6935340076964318,10374,2428,0.13263929053402737,0.025875957571781193
lag_teacher_relation,0.0034899981664898725,0.03400531760030869,1.0034960953010237,0.9387928563930131,1.072658794138536,0.9182558752777197,10374,2428,0.13263929053402737,0.025875957571781193
lag_negative_peer,-0.0011896190554633844,0.03860328211941994,0.9988110882607785,0.926026847283456,1.0773160551006236,0.9754158606647234,10374,2428,0.13263929053402737,0.025875957571781193
