cluster_label,n,cyber_any,offline_any,smartphone_dependence,depression,aggression,attention_problem,parent_warmth,parent_rejection,parent_inconsistency,negative_peer,teacher_relation,self_esteem,grit,academic_engagement,parent_income,parent_education_max,gender_female
low-stable,2107,0.33981964878974846,0.1969625059326056,2.0355233494363927,1.7871381110583768,1.9019142540737226,2.1507898840599364,3.382297104888467,1.7540341718082582,2.035358329378263,1.8413858566682488,2.80466472303207,3.0009492168960605,2.6642145230185097,2.4823801613668723,6.662072243346008,5.345914954610607,0.47650688182249645
persistent-high,159,0.6226415094339622,0.3836477987421384,2.0903225806451613,1.891823899371069,2.1037735849056602,2.3342318059299187,3.3128930817610063,1.8254716981132075,2.0786163522012577,1.9245283018867925,2.7457322551662173,2.9364779874213833,2.582547169811321,2.3946540880503147,6.610062893081761,5.169811320754717,0.31446540880503143
declining,29,0.41379310344827586,0.3448275862068966,2.1402298850574715,2.055172413793103,2.0862068965517238,2.3940886699507384,3.1724137931034484,1.9827586206896552,2.1120689655172415,2.089655172413793,2.6699507389162562,2.782758620689655,2.4525862068965516,2.2564655172413794,6.586206896551724,4.857142857142857,0.5172413793103449
