k,silhouette,inertia
2,0.6775845770445923,13829.791559701576
3,0.6970348602917562,12054.453498414803
4,0.5094085041533944,10701.571634083979
5,0.5143903629912491,9418.151860266596
6,0.5179112755822273,8298.046485392504
