wave,n_rows,n_cyber_valid,n_offline_valid,cyber_any,offline_any,cyber_freq_mean,offline_freq_mean,smartphone_dependence,depression,aggression,parent_rejection,negative_peer,weighted_cyber_any,weighted_offline_any
1,2590,2590,2590,0.3633204633204633,0.21583011583011583,0.0821106821106821,0.04929214929214929,2.039275875639512,1.799111969111969,1.916988416988417,1.7668918918918919,1.8537451737451738,0.34960515982572826,0.20667897363266471
2,2590,2438,2438,0.26292042657916326,0.15504511894995898,0.08764014219305441,0.06694011484823625,2.135440931780366,1.774077112387203,1.9046349466776047,1.8343929450369154,1.8467596390484002,0.26829884013462046,0.1567984657107579
3,2590,2384,2384,0.19043624161073824,0.15016778523489932,0.039681208053691276,0.037500000000000006,2.1836936555037445,1.7910654362416105,1.8608780760626398,1.8309563758389262,1.7991610738255033,0.1938607059656152,0.15566948831195587
4,2590,2265,2265,0.12141280353200883,0.13068432671081678,0.022752023546725536,0.024194260485651212,2.1597147950089126,1.7871523178807946,1.8512877115526123,1.817991169977925,1.7962030905077264,0.13181201476613477,0.13390593645127769
5,2590,2252,2252,0.1269982238010657,0.14742451154529307,0.020603907637655416,0.027679100059206627,2.1866726296958854,1.8060834813499114,1.8896536412078153,1.8784413854351687,1.8727353463587921,0.1292342959205531,0.1515674111582476
6,2590,2224,2224,0.12679856115107913,0.15872302158273383,0.025179856115107913,0.030665467625899275,2.146781504986401,1.7739658273381296,1.796013189448441,1.8576888489208634,1.835431654676259,0.131208303239497,0.16852469120017663
7,2590,2073,2073,0.21369995176073323,0.5846599131693199,0.04399421128798842,0.16031516320951925,2.1063254466441332,1.6896285576459238,1.7376587875864287,1.8314037626628075,1.7829232995658466,0.18819074843478303,0.5568425817251298
