outcome,term,coef_std,se_cluster,p,n_obs,n_ids,r2_within
cyber_freq,lag_smartphone_dependence,-2.313016886724525e-06,0.016325201416832868,0.9998869526684849,12994,2422,0.022268250238925202
cyber_freq,lag_depression,0.008202064006327026,0.015993317466473617,0.6080610126514331,12994,2422,0.022268250238925202
cyber_freq,lag_aggression,-0.017567264261061456,0.016051402249228273,0.2737629340542722,12994,2422,0.022268250238925202
cyber_freq,lag_attention_problem,0.01884392123552849,0.015986553253687613,0.238503430467513,12994,2422,0.022268250238925202
cyber_freq,lag_parent_warmth,0.00499907047384401,0.012784730507297825,0.6957833110981548,12994,2422,0.022268250238925202
cyber_freq,lag_parent_rejection,0.0008487580658080138,0.012397899415320667,0.9454195973544026,12994,2422,0.022268250238925202
cyber_freq,lag_parent_coercion,0.013298387497035035,0.01609250884682866,0.40859349730268,12994,2422,0.022268250238925202
cyber_freq,lag_parent_inconsistency,-0.010359024766002733,0.01371242995052196,0.4499803537257159,12994,2422,0.022268250238925202
cyber_freq,lag_negative_peer,0.007992268236874017,0.012171610644095741,0.5114176102724092,12994,2422,0.022268250238925202
cyber_freq,lag_teacher_relation,0.028004051695051563,0.012775667817821074,0.028380705768140148,12994,2422,0.022268250238925202
cyber_freq,lag_self_esteem,-0.005517746732294193,0.01653663883197805,0.738630120892027,12994,2422,0.022268250238925202
cyber_freq,lag_grit,-0.010274654866849317,0.013225916710661211,0.4372427465110471,12994,2422,0.022268250238925202
cyber_freq,lag_academic_engagement,-0.02183628978035417,0.016251966546496015,0.17907483253956313,12994,2422,0.022268250238925202
cyber_freq,lag_academic_helplessness,0.005255291958429707,0.014816489247252162,0.7228202561443876,12994,2422,0.022268250238925202
cyber_freq,lag_life_satisfaction,0.004190983872742721,0.01396820015629544,0.7641485506948903,12994,2422,0.022268250238925202
cyber_freq,lag_parent_income,0.04108076129616246,0.019134548340005605,0.03179791679254685,12994,2422,0.022268250238925202
cyber_freq,lag_parent_education_max,-0.05460264723564206,0.07333747735366697,0.45655016597529063,12994,2422,0.022268250238925202
offline_freq,lag_smartphone_dependence,-0.011225503017443458,0.015178195136726828,0.4595543427414922,12994,2422,0.08527028329235997
offline_freq,lag_depression,0.015278596441438332,0.015536779053397069,0.32541922580995675,12994,2422,0.08527028329235997
offline_freq,lag_aggression,-0.017273509267657222,0.015813830245228443,0.274699524013185,12994,2422,0.08527028329235997
offline_freq,lag_attention_problem,-0.014666715985388835,0.014920181979340554,0.32560159675474953,12994,2422,0.08527028329235997
offline_freq,lag_parent_warmth,0.016943629306359904,0.013877815152014273,0.22211829671881134,12994,2422,0.08527028329235997
offline_freq,lag_parent_rejection,-0.010009325058047776,0.011416137474519509,0.3806116623521435,12994,2422,0.08527028329235997
offline_freq,lag_parent_coercion,0.012420842217926952,0.01575524979367981,0.43048491798888233,12994,2422,0.08527028329235997
offline_freq,lag_parent_inconsistency,-0.016029620524873747,0.01369895354315375,0.2419467770425947,12994,2422,0.08527028329235997
offline_freq,lag_negative_peer,-0.00607519268527097,0.01140038742462177,0.5941072849888889,12994,2422,0.08527028329235997
offline_freq,lag_teacher_relation,0.03699178018384436,0.012486425149057338,0.003050926201106027,12994,2422,0.08527028329235997
offline_freq,lag_self_esteem,0.005277919730307832,0.017311326843168492,0.7604556831421654,12994,2422,0.08527028329235997
offline_freq,lag_grit,-0.029044287159923535,0.013673307715926862,0.03365680438380245,12994,2422,0.08527028329235997
offline_freq,lag_academic_engagement,-0.012564425600169796,0.014986425414026418,0.4018133374038375,12994,2422,0.08527028329235997
offline_freq,lag_academic_helplessness,0.026156560724570718,0.013400577512979748,0.05095031332796451,12994,2422,0.08527028329235997
offline_freq,lag_life_satisfaction,-0.03161477619109667,0.014511171281956302,0.029357612801237158,12994,2422,0.08527028329235997
offline_freq,lag_parent_income,0.04422287192619924,0.01805199171138173,0.014295531681575423,12994,2422,0.08527028329235997
offline_freq,lag_parent_education_max,-0.039673597601268935,0.06815904797417657,0.5605169567361641,12994,2422,0.08527028329235997
