wave,scale,alpha
1,offline_frequency,0.6641334565981839
1,cyber_frequency,0.560819362132255
1,smartphone_dependence,0.8760702451462493
1,parent_warmth,0.9134111359384296
1,parent_rejection,0.7894923166142434
1,parent_autonomy,0.8841573578792261
1,parent_coercion,0.7707024034377513
1,parent_structure,0.7958651630300457
1,parent_inconsistency,0.8041002792214759
1,positive_peer,0.896837976179973
1,negative_peer,0.7367203566403585
1,teacher_relation,0.9121465882019053
1,attention_problem,0.8203400729722365
1,aggression,0.8390049444463475
1,depression,0.9217459087922057
1,self_esteem,0.8672065460376833
1,grit,0.7122639516895437
1,academic_engagement,0.9291424705097754
1,academic_helplessness,0.9238894540385636
1,life_satisfaction,0.8507009198087612
2,offline_frequency,0.9491986838603462
2,cyber_frequency,0.927843965960791
2,smartphone_dependence,0.8680245646045004
2,parent_warmth,0.8823733216614756
2,parent_rejection,0.7956332287158463
2,parent_autonomy,0.8630389890712469
2,parent_coercion,0.7567336530192292
2,parent_structure,0.746168060300192
2,parent_inconsistency,0.7927440934816078
2,positive_peer,0.8743299344637347
2,negative_peer,0.8045072211204953
2,teacher_relation,0.9063016393485239
2,attention_problem,0.8264614290615717
2,aggression,0.8503619510681034
2,depression,0.916173830117606
2,self_esteem,0.8452424871570261
2,grit,0.6854515213975131
2,academic_engagement,0.9218044424598479
2,academic_helplessness,0.9201176520170262
2,life_satisfaction,0.8162226736855978
3,offline_frequency,0.8125427570811733
3,cyber_frequency,0.7519442856834785
3,smartphone_dependence,0.8778121949377037
3,parent_warmth,0.8842117889192482
3,parent_rejection,0.8065947323398015
3,parent_autonomy,0.864619111118742
3,parent_coercion,0.7966898123943436
3,parent_structure,0.7400328545638175
3,parent_inconsistency,0.7995862631968162
3,positive_peer,0.8579747220296526
3,negative_peer,0.815886441465115
3,teacher_relation,0.8978709091211658
3,attention_problem,0.8257100359991295
3,aggression,0.8574417781434994
3,depression,0.9146681395741959
3,self_esteem,0.8373352025661781
3,grit,0.7011012348564659
3,academic_engagement,0.9262355750067077
3,academic_helplessness,0.9165262145303799
3,life_satisfaction,0.82295348737565
4,offline_frequency,0.5995792765478225
4,cyber_frequency,0.6683159062737648
4,smartphone_dependence,0.8616456209954777
4,parent_warmth,0.8746876207230712
4,parent_rejection,0.8047778512592411
4,parent_autonomy,0.8734583812882777
4,parent_coercion,0.7326319522893431
4,parent_structure,0.7342218716638628
4,parent_inconsistency,0.7911951654629261
4,positive_peer,0.8631754963178742
4,negative_peer,0.8457753542592252
4,teacher_relation,0.90823437538093
4,attention_problem,0.8395473162246043
4,aggression,0.8464701160400475
4,depression,0.9039091059502117
4,self_esteem,0.8269698525838307
4,grit,0.6070395644962715
4,academic_engagement,0.9142373220533938
4,academic_helplessness,0.9125312623142192
4,life_satisfaction,0.8105456267665067
5,offline_frequency,0.5632828000257957
5,cyber_frequency,0.5107064879825042
5,smartphone_dependence,0.8530321358520503
5,parent_warmth,0.8626111676890235
5,parent_rejection,0.8111694783527269
5,parent_autonomy,0.8653457381360413
5,parent_coercion,0.737916064688951
5,parent_structure,0.7631893862637951
5,parent_inconsistency,0.7884603850246218
5,positive_peer,0.8460868894341781
5,negative_peer,0.8265483697195225
5,teacher_relation,0.9142291624331321
5,attention_problem,0.8271330117754425
5,aggression,0.8349693214193157
5,depression,0.8986125646489063
5,self_esteem,0.7925345078578077
5,grit,0.6051081981176792
5,academic_engagement,0.9038986527091917
5,academic_helplessness,0.9111569023068076
5,life_satisfaction,0.7858741256462143
6,offline_frequency,0.6191936260510099
6,cyber_frequency,0.7928868441618976
6,smartphone_dependence,0.8512177740209912
6,parent_warmth,0.8651585971957987
6,parent_rejection,0.7957546513123225
6,parent_autonomy,0.886929242579766
6,parent_coercion,0.7122211476770288
6,parent_structure,0.8087802226994448
6,parent_inconsistency,0.7524543388854026
6,positive_peer,0.8724383046945318
6,negative_peer,0.8106261077192288
6,teacher_relation,0.9167323203257293
6,attention_problem,0.8277427776025892
6,aggression,0.8319282439608678
6,depression,0.8957408995624728
6,self_esteem,0.7737720268180696
6,grit,0.5600477875521445
6,academic_engagement,0.902609073271918
6,academic_helplessness,0.9073326788546294
6,life_satisfaction,0.7531955516492084
7,offline_frequency,0.5680676685561055
7,cyber_frequency,0.8320555621380132
7,smartphone_dependence,0.8444732579099117
7,parent_warmth,0.8465990815192629
7,parent_rejection,0.7509532508027865
7,parent_autonomy,0.8736135243194016
7,parent_coercion,0.7315503580853344
7,parent_structure,0.8078337950521269
7,parent_inconsistency,0.7633378884307442
7,positive_peer,0.8800051511663733
7,negative_peer,0.8395432185204643
7,teacher_relation,0.966593596293865
7,attention_problem,0.8369066660567919
7,aggression,0.8501044513632917
7,depression,0.9045691726279753
7,self_esteem,0.7661862251070909
7,grit,0.5498356196284879
7,academic_engagement,0.9220829477343221
7,academic_helplessness,0.9192726701624006
7,life_satisfaction,0.7449647802043718
